epochs,acc,loss,val_acc,val_loss,train_data,features_nb,loss_fct,optimizer,activation_fct,layer_nb,unit_nb,batch_size,dropout,cell_type,encoder
0,0.9783875346183777,0.008043694972329861,0.9233640432357788,0.029916579251369795,494021,4,mse,nadam,sigmoid,2,128,1024,0.2,CuDNNLSTM,labelencoder
1,0.9944658279418945,0.0020913058477010104,0.9242193102836609,0.0292861643159348,494021,4,mse,nadam,sigmoid,2,128,1024,0.2,CuDNNLSTM,labelencoder
2,0.9773430824279785,0.008543654020531873,0.9250841736793518,0.029310155323183963,494021,4,mse,nadam,sigmoid,2,128,1024,0.2,CuDNNLSTM,labelencoder
3,0.9809866547584534,0.006473466461102498,0.9246308207511902,0.0292748549915141,494021,4,mse,nadam,sigmoid,2,128,1024,0.2,CuDNNLSTM,labelencoder
4,0.994712769985199,0.001949642250207708,0.9240006804466248,0.029633325649811998,494021,4,mse,nadam,sigmoid,2,128,1024,0.2,CuDNNLSTM,labelencoder
0,0.8834867477416992,0.04531452397716302,0.7390082478523254,0.10439641373090884,494021,4,mse,nadam,softmax,2,128,1024,0.2,CuDNNLSTM,labelencoder
1,0.7923914194107056,0.08304287866435855,0.7390082478523254,0.10439611472578521,494021,4,mse,nadam,softmax,2,128,1024,0.2,CuDNNLSTM,labelencoder
2,0.7920857667922974,0.0831083048682976,0.7390082478523254,0.10439498281124755,494021,4,mse,nadam,softmax,2,128,1024,0.2,CuDNNLSTM,labelencoder
3,0.8895208835601807,0.042753371808587445,0.9194802045822144,0.028333171431562124,494021,4,mse,nadam,softmax,2,128,1024,0.2,CuDNNLSTM,labelencoder
4,0.9865005612373352,0.005051333175089302,0.9207951426506042,0.030224582396056215,494021,4,mse,nadam,softmax,2,128,1024,0.2,CuDNNLSTM,labelencoder
0,0.977834939956665,0.008919141121657152,0.9234187006950378,0.028915001880308842,494021,4,mse,nadam,relu,2,128,1024,0.2,CuDNNLSTM,labelencoder
1,0.9726995229721069,0.007675091932102741,0.721617579460144,0.05730860760901098,494021,4,mse,nadam,relu,2,128,1024,0.2,CuDNNLSTM,labelencoder
2,0.7901384830474854,0.042515604111316115,0.7210003137588501,0.057020586495039424,494021,4,mse,nadam,relu,2,128,1024,0.2,CuDNNLSTM,labelencoder
3,0.790114164352417,0.04237204732216701,0.7199971675872803,0.057085509814958205,494021,4,mse,nadam,relu,2,128,1024,0.2,CuDNNLSTM,labelencoder
4,0.7901344299316406,0.0423260762670213,0.7200229167938232,0.05711762232764813,494021,4,mse,nadam,relu,2,128,1024,0.2,CuDNNLSTM,labelencoder
0,0.9796769618988037,0.008790983177977081,0.9237916469573975,0.030042148949624845,494021,4,mse,nadam,tanh,2,128,1024,0.2,CuDNNLSTM,labelencoder
1,0.9749463796615601,0.009385537887399825,0.9235023260116577,0.02905915633984187,494021,4,mse,nadam,tanh,2,128,1024,0.2,CuDNNLSTM,labelencoder
2,0.9966701865196228,0.0012498512158555268,0.9227692484855652,0.029650642532415453,494021,4,mse,nadam,tanh,2,128,1024,0.2,CuDNNLSTM,labelencoder
3,0.9968888163566589,0.0010605043097522973,0.9220297932624817,0.030366021879574656,494021,4,mse,nadam,tanh,2,128,1024,0.2,CuDNNLSTM,labelencoder
4,0.9832577705383301,0.005682857544565611,0.9234444499015808,0.030203572081639207,494021,4,mse,nadam,tanh,2,128,1024,0.2,CuDNNLSTM,labelencoder
