epochs,acc,loss,val_acc,val_loss,train_data,features_nb,loss_fct,optimizer,activation_fct,layer_nb,unit_nb,batch_size,dropout,cell_type,encoder
0,0.9698696732521057,0.011462268738060666,0.9235087633132935,0.028211140315888273,494021,4,mse,nadam,relu,2,128,2048,0.1,CuDNNLSTM,labelencoder
1,0.9944415092468262,0.0023071950367607595,0.9233897924423218,0.02819396823532794,494021,4,mse,nadam,relu,2,128,2048,0.1,CuDNNLSTM,labelencoder
2,0.9947026371955872,0.0019658680233315233,0.9217918515205383,0.02883517019280898,494021,4,mse,nadam,relu,2,128,2048,0.1,CuDNNLSTM,labelencoder
3,0.7802016735076904,0.04561608191099423,0.0,0.20000003269722827,494021,4,mse,nadam,relu,2,128,2048,0.1,CuDNNLSTM,labelencoder
4,0.0,0.20000003276889078,0.0,0.20000003269722827,494021,4,mse,nadam,relu,2,128,2048,0.1,CuDNNLSTM,labelencoder
0,0.7862378358840942,0.05354321918719797,0.7264177799224854,0.057099813937959196,494021,4,mse,nadam,relu,2,128,2048,0.1,CuDNNGRU,labelencoder
1,0.9756690263748169,0.008129311518410261,0.9234733581542969,0.02738423248132988,494021,4,mse,nadam,relu,2,128,2048,0.1,CuDNNGRU,labelencoder
2,0.9943302273750305,0.0028280806934345227,0.923193633556366,0.02728888434179165,494021,4,mse,nadam,relu,2,128,2048,0.1,CuDNNGRU,labelencoder
3,0.9944294095039368,0.002483719939553959,0.9231743812561035,0.02693828542432888,494021,4,mse,nadam,relu,2,128,2048,0.1,CuDNNGRU,labelencoder
4,0.9945225119590759,0.002271438689736694,0.9235473275184631,0.027872729995553236,494021,4,mse,nadam,relu,2,128,2048,0.1,CuDNNGRU,labelencoder
