epochs,acc,loss,val_acc,val_loss,train_data,features_nb,loss_fct,optimizer,activation_fct,layer_nb,unit_nb,batch_size,dropout,cell_type,encoder
0,0.9599106311798096,0.014881629980668531,0.9230393171310425,0.02979133811401385,494021,4,mse,nadam,sigmoid,2,128,1024,0,CuDNNLSTM,labelencoder
1,0.9901461601257324,0.0037260736233631834,0.9244668483734131,0.02905837519678056,494021,4,mse,nadam,sigmoid,2,128,1024,0,CuDNNLSTM,labelencoder
2,0.9946844577789307,0.0019299444014512254,0.9229043126106262,0.029443187850654477,494021,4,mse,nadam,sigmoid,2,128,1024,0,CuDNNLSTM,labelencoder
3,0.9959131479263306,0.00147473855121311,0.9241774678230286,0.02854618762385778,494021,4,mse,nadam,sigmoid,2,128,1024,0,CuDNNLSTM,labelencoder
4,0.9968969225883484,0.0011330805094845189,0.922164797782898,0.029730952237042023,494021,4,mse,nadam,sigmoid,2,128,1024,0,CuDNNLSTM,labelencoder
0,0.9321222901344299,0.025433621118091516,0.9237948656082153,0.030765633455636033,494021,4,mse,nadam,sigmoid,2,128,1024,0.1,CuDNNLSTM,labelencoder
1,0.9942411184310913,0.0022176488554626096,0.923383355140686,0.029381616221735973,494021,4,mse,nadam,sigmoid,2,128,1024,0.1,CuDNNLSTM,labelencoder
2,0.9692158699035645,0.011099219350022721,0.9248591065406799,0.028751558463451534,494021,4,mse,nadam,sigmoid,2,128,1024,0.1,CuDNNLSTM,labelencoder
3,0.9954516291618347,0.001623738530879095,0.9240521192550659,0.028519171908754557,494021,4,mse,nadam,sigmoid,2,128,1024,0.1,CuDNNLSTM,labelencoder
4,0.9967045783996582,0.0011729372239378684,0.9242867827415466,0.02929638904609182,494021,4,mse,nadam,sigmoid,2,128,1024,0.1,CuDNNLSTM,labelencoder
0,0.9744221568107605,0.009147678893337896,0.9233543872833252,0.029961712489465366,494021,4,mse,nadam,sigmoid,2,128,1024,0.2,CuDNNLSTM,labelencoder
1,0.9685458540916443,0.01035732133830984,0.9239492416381836,0.029296738365588992,494021,4,mse,nadam,sigmoid,2,128,1024,0.2,CuDNNLSTM,labelencoder
2,0.9944941401481628,0.002093303200317712,0.9238495230674744,0.029197443509296983,494021,4,mse,nadam,sigmoid,2,128,1024,0.2,CuDNNLSTM,labelencoder
3,0.9949010014533997,0.0018724263630139262,0.9255053400993347,0.028885440816278182,494021,4,mse,nadam,sigmoid,2,128,1024,0.2,CuDNNLSTM,labelencoder
4,0.9861200451850891,0.005100394441709978,0.9218658208847046,0.029889900149641966,494021,4,mse,nadam,sigmoid,2,128,1024,0.2,CuDNNLSTM,labelencoder
0,0.9774746298789978,0.008315852953150167,0.9235794544219971,0.02987874815016928,494021,4,mse,nadam,sigmoid,2,128,1024,0.3,CuDNNLSTM,labelencoder
1,0.9174771904945374,0.03113069856053648,0.9230489730834961,0.0298759903240039,494021,4,mse,nadam,sigmoid,2,128,1024,0.3,CuDNNLSTM,labelencoder
2,0.9757823944091797,0.009141615393331614,0.921688973903656,0.02933160372078802,494021,4,mse,nadam,sigmoid,2,128,1024,0.3,CuDNNLSTM,labelencoder
3,0.9805473685264587,0.007524496178810868,0.9219751358032227,0.029368553419620226,494021,4,mse,nadam,sigmoid,2,128,1024,0.3,CuDNNLSTM,labelencoder
4,0.9966478943824768,0.0012545718291922805,0.9220908880233765,0.029623927446552914,494021,4,mse,nadam,sigmoid,2,128,1024,0.3,CuDNNLSTM,labelencoder
0,0.977351188659668,0.008182837667707157,0.9229428768157959,0.03007779829090897,494021,4,mse,nadam,sigmoid,2,128,1024,0.4,CuDNNLSTM,labelencoder
1,0.9822314977645874,0.006579634386941823,0.9236855506896973,0.029807062197025596,494021,4,mse,nadam,sigmoid,2,128,1024,0.4,CuDNNLSTM,labelencoder
2,0.9945791959762573,0.002074277345837375,0.9238817095756531,0.029776029988602907,494021,4,mse,nadam,sigmoid,2,128,1024,0.4,CuDNNLSTM,labelencoder
3,0.9947087168693542,0.0020143733680225216,0.9233415722846985,0.030151399038361355,494021,4,mse,nadam,sigmoid,2,128,1024,0.4,CuDNNLSTM,labelencoder
4,0.9947249293327332,0.0019658967552946983,0.9205186367034912,0.030901678672318366,494021,4,mse,nadam,sigmoid,2,128,1024,0.4,CuDNNLSTM,labelencoder
0,0.9775657057762146,0.00834269334617421,0.9240295886993408,0.02986721364229903,494021,4,mse,nadam,sigmoid,2,128,1024,0.5,CuDNNLSTM,labelencoder
1,0.9944638013839722,0.0021109213244686923,0.9243928790092468,0.029649592846412772,494021,4,mse,nadam,sigmoid,2,128,1024,0.5,CuDNNLSTM,labelencoder
2,0.9947836399078369,0.0019365571524315338,0.924492597579956,0.02837993654476339,494021,4,mse,nadam,sigmoid,2,128,1024,0.5,CuDNNLSTM,labelencoder
3,0.9572427272796631,0.015784009154771707,0.9225731492042542,0.029322924897526675,494021,4,mse,nadam,sigmoid,2,128,1024,0.5,CuDNNLSTM,labelencoder
4,0.9622485637664795,0.012940383468096676,0.9225731492042542,0.030323753715447495,494021,4,mse,nadam,sigmoid,2,128,1024,0.5,CuDNNLSTM,labelencoder
0,0.9773471355438232,0.008544987765229004,0.9230457544326782,0.030370383309570714,494021,4,mse,nadam,sigmoid,2,128,1024,0.6,CuDNNLSTM,labelencoder
1,0.9812862277030945,0.006701413404235351,0.923383355140686,0.029953764939669142,494021,4,mse,nadam,sigmoid,2,128,1024,0.6,CuDNNLSTM,labelencoder
2,0.994419276714325,0.002142353016663499,0.9214542508125305,0.030693783236885673,494021,4,mse,nadam,sigmoid,2,128,1024,0.6,CuDNNLSTM,labelencoder
3,0.9944334626197815,0.00211803452998149,0.924357533454895,0.029736629871164228,494021,4,mse,nadam,sigmoid,2,128,1024,0.6,CuDNNLSTM,labelencoder
4,0.9947046637535095,0.001969650997527403,0.9235794544219971,0.02857685805220233,494021,4,mse,nadam,sigmoid,2,128,1024,0.6,CuDNNLSTM,labelencoder
