epochs,acc,loss,val_acc,val_loss,train_data,features_nb,loss_fct,optimizer,activation_fct,layer_nb,unit_nb,batch_size,dropout,cell_type,encoder
0,0.9672726392745972,0.013473034603700793,0.9236244559288025,0.027680978049371512,494021,4,mse,nadam,relu,2,128,2048,0.2,CuDNNLSTM,standardscaler
1,0.9943788051605225,0.002631730071402189,0.9234283566474915,0.029832385211728915,494021,4,mse,nadam,relu,2,128,2048,0.2,CuDNNLSTM,standardscaler
2,0.9946500062942505,0.0022190499871656342,0.9244186282157898,0.027086209332269188,494021,4,mse,nadam,relu,2,128,2048,0.2,CuDNNLSTM,standardscaler
3,0.9947431087493896,0.0020701504949642677,0.9232997298240662,0.028340485534171688,494021,4,mse,nadam,relu,2,128,2048,0.2,CuDNNLSTM,standardscaler
4,0.9780839085578918,0.005966228353683078,0.0,0.20000003269722827,494021,4,mse,nadam,relu,2,128,2048,0.2,CuDNNLSTM,standardscaler
0,0.9416643977165222,0.018156197188078024,0.9236405491828918,0.03239213256930286,494021,4,mse,nadam,relu,2,128,2048,0.2,CuDNNLSTM,standardscaler
1,0.9943868517875671,0.0025920553265567432,0.9238430857658386,0.026888203019724013,494021,4,mse,nadam,relu,2,128,2048,0.2,CuDNNLSTM,standardscaler
2,0.9946459531784058,0.0021951768760849234,0.9224830865859985,0.028548978884182893,494021,4,mse,nadam,relu,2,128,2048,0.2,CuDNNLSTM,standardscaler
3,0.9947046637535095,0.002066712658488554,0.9204350709915161,0.02944429150542132,494021,4,mse,nadam,relu,2,128,2048,0.2,CuDNNLSTM,standardscaler
4,0.9676815271377563,0.01167964723077151,0.9234058856964111,0.03122249519115513,494021,4,mse,nadam,relu,2,128,2048,0.2,CuDNNLSTM,standardscaler
0,0.9710032343864441,0.011941215784426265,0.9235634207725525,0.02644949098506909,494021,8,mse,nadam,relu,2,128,2048,0.2,CuDNNLSTM,standardscaler
1,0.994425356388092,0.002519914892175477,0.9240906834602356,0.02850057567341262,494021,8,mse,nadam,relu,2,128,2048,0.2,CuDNNLSTM,standardscaler
2,0.8966805338859558,0.03054600336979385,0.7225757241249084,0.05746435688433066,494021,8,mse,nadam,relu,2,128,2048,0.2,CuDNNLSTM,standardscaler
3,0.7908003926277161,0.04305778008800861,0.7223442196846008,0.05700621797952445,494021,8,mse,nadam,relu,2,128,2048,0.2,CuDNNLSTM,standardscaler
4,0.7908833622932434,0.04259259477471433,0.721839427947998,0.05697343020236028,494021,8,mse,nadam,relu,2,128,2048,0.2,CuDNNLSTM,standardscaler
0,0.9651816487312317,0.0135034961047589,0.92341548204422,0.029020025902847524,494021,8,mse,nadam,relu,2,128,2048,0.2,CuDNNLSTM,standardscaler
1,0.994316041469574,0.002657802451812558,0.9237788319587708,0.027700620269781685,494021,8,mse,nadam,relu,2,128,2048,0.2,CuDNNLSTM,standardscaler
2,0.9877272248268127,0.00492552228108161,0.7396384477615356,0.11118532023717817,494021,8,mse,nadam,relu,2,128,2048,0.2,CuDNNLSTM,standardscaler
3,0.7890332341194153,0.04927194716683555,0.72133469581604,0.057139152948056014,494021,8,mse,nadam,relu,2,128,2048,0.2,CuDNNLSTM,standardscaler
4,0.7900939583778381,0.0426410701252839,0.7210999727249146,0.05699010461407283,494021,8,mse,nadam,relu,2,128,2048,0.2,CuDNNLSTM,standardscaler
0,0.9676349759101868,0.012717147253128258,0.9235344529151917,0.02945172256616134,494021,41,mse,nadam,relu,2,128,2048,0.2,CuDNNLSTM,standardscaler
1,0.9251428842544556,0.01936570448147127,0.7207398414611816,0.057098208004056926,494021,41,mse,nadam,relu,2,128,2048,0.2,CuDNNLSTM,standardscaler
2,0.7901101112365723,0.04275174172696955,0.7204023003578186,0.05710679937194574,494021,41,mse,nadam,relu,2,128,2048,0.2,CuDNNLSTM,standardscaler
3,0.790114164352417,0.04255511941200798,0.7204601764678955,0.057070724465846046,494021,41,mse,nadam,relu,2,128,2048,0.2,CuDNNLSTM,standardscaler
4,0.7901465892791748,0.04247630197888663,0.7204890847206116,0.057087626110133995,494021,41,mse,nadam,relu,2,128,2048,0.2,CuDNNLSTM,standardscaler
0,0.952052652835846,0.016564363063784195,0.9236662983894348,0.03197327115299244,494021,41,mse,nadam,relu,2,128,2048,0.2,CuDNNLSTM,standardscaler
1,0.9944091439247131,0.002630486876024062,0.9236630797386169,0.02683834335744949,494021,41,mse,nadam,relu,2,128,2048,0.2,CuDNNLSTM,standardscaler
2,0.9946844577789307,0.0021964704335778163,0.9246469140052795,0.028091164407691136,494021,41,mse,nadam,relu,2,128,2048,0.2,CuDNNLSTM,standardscaler
3,0.9948018193244934,0.0020302583121775135,0.9233351349830627,0.027279346703665126,494021,41,mse,nadam,relu,2,128,2048,0.2,CuDNNLSTM,standardscaler
4,0.9949070811271667,0.0019050514437055077,0.9210716485977173,0.029227752606431002,494021,41,mse,nadam,relu,2,128,2048,0.2,CuDNNLSTM,standardscaler
