epochs,acc,loss,val_acc,val_loss,train_data,features_nb,loss_fct,optimizer,activation_fct,layer_nb,unit_nb,batch_size,dropout,cell_type,encoder
0,0.9549452066421509,0.018615375209178258,0.8748701810836792,0.045097442336255414,494021,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
1,0.9722521901130676,0.010007073705116607,0.8763620257377625,0.043315329039487656,494021,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
2,0.9800474047660828,0.007058664338750058,0.9181619882583618,0.028780166820782598,494021,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
3,0.9840715527534485,0.0056155664446516755,0.9148503541946411,0.030442063135045494,494021,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
4,0.9861888289451599,0.004860827507155345,0.9166090488433838,0.030409998705853588,494021,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
0,0.9740395545959473,0.009126015450889795,0.923691987991333,0.029975551359425614,494021,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,labelencoder
1,0.9948747158050537,0.0018577300995102535,0.9244057536125183,0.029079237891247077,494021,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,labelencoder
2,0.9962228536605835,0.0012901445483949842,0.923717737197876,0.02950860481602153,494021,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,labelencoder
3,0.9970102310180664,0.0010112473827937612,0.9212324023246765,0.029936674339247647,494021,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,labelencoder
4,0.9976863265037537,0.0007601991351358522,0.9217050671577454,0.02979709650506105,494021,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,labelencoder
0,0.9140259027481079,0.0316243680007036,0.8633471727371216,0.052332958513051676,494021,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,minmaxscaler01
1,0.9480690360069275,0.01810596940009838,0.8653116226196289,0.07522799027492752,494021,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,minmaxscaler01
2,0.9565099477767944,0.014955557421751704,0.8745615482330322,0.0441688965696535,494021,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,minmaxscaler01
3,0.962027907371521,0.013407467280446986,0.8749923706054688,0.04653375026905037,494021,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,minmaxscaler01
4,0.9648476243019104,0.012723757220982627,0.8759022355079651,0.0450041551458042,494021,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,minmaxscaler01
0,0.886308491230011,0.03958534680199629,0.869758129119873,0.05089194991001597,494021,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,minmaxscaler11
1,0.9595341086387634,0.015729757989285966,0.8715489506721497,0.049944961221442215,494021,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,minmaxscaler11
2,0.9612506628036499,0.01439771761550268,0.872121274471283,0.050462865176996705,494021,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,minmaxscaler11
3,0.9618821740150452,0.013991334084097747,0.8759890794754028,0.0457729924546853,494021,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,minmaxscaler11
4,0.9630299210548401,0.01322955417104964,0.8735359311103821,0.04481476960290112,494021,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,minmaxscaler11
0,0.9741873145103455,0.009195445268546548,0.923968493938446,0.029974461472077878,494021,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,ordinalencoder
1,0.9946196675300598,0.001914188620649928,0.9237980842590332,0.029363520535598885,494021,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,ordinalencoder
2,0.9960143566131592,0.0013590696771927278,0.9232226014137268,0.0296569426485223,494021,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,ordinalencoder
3,0.9969455003738403,0.0010419854126791557,0.9235634207725525,0.029778335368943788,494021,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,ordinalencoder
4,0.9977288246154785,0.0007751204501115635,0.9234380125999451,0.029793313600770446,494021,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,ordinalencoder
0,0.9719829559326172,0.010404947046101953,0.9237498641014099,0.029867000597989427,494021,4,mse,adam,sigmoid,2,128,1024,0.2,CuDNNLSTM,labelencoder
1,0.994451642036438,0.002104483390577697,0.9247915744781494,0.029210014826197818,494021,4,mse,adam,sigmoid,2,128,1024,0.2,CuDNNLSTM,labelencoder
2,0.994712769985199,0.0018963129472398857,0.9214639067649841,0.0285305645514896,494021,4,mse,adam,sigmoid,2,128,1024,0.2,CuDNNLSTM,labelencoder
3,0.996502161026001,0.0012789914630183701,0.9247240424156189,0.029196613904967354,494021,4,mse,adam,sigmoid,2,128,1024,0.2,CuDNNLSTM,labelencoder
4,0.996769368648529,0.00109177005869874,0.9217950701713562,0.029728915508348563,494021,4,mse,adam,sigmoid,2,128,1024,0.2,CuDNNLSTM,labelencoder
0,0.7856548428535461,0.13282297504681692,0.7390082478523254,0.09930229350267225,494021,4,mse,sgd,sigmoid,2,128,1024,0.2,CuDNNLSTM,labelencoder
1,0.7923914194107056,0.08151407660188897,0.7390082478523254,0.08787126828977812,494021,4,mse,sgd,sigmoid,2,128,1024,0.2,CuDNNLSTM,labelencoder
2,0.7923914194107056,0.07347997114036098,0.7390082478523254,0.08513421048138038,494021,4,mse,sgd,sigmoid,2,128,1024,0.2,CuDNNLSTM,labelencoder
3,0.7923914194107056,0.07067498782148715,0.7390082478523254,0.08394947251570743,494021,4,mse,sgd,sigmoid,2,128,1024,0.2,CuDNNLSTM,labelencoder
4,0.7923914194107056,0.06924416660918473,0.7390082478523254,0.08327509135838508,494021,4,mse,sgd,sigmoid,2,128,1024,0.2,CuDNNLSTM,labelencoder
0,0.9734808802604675,0.009397672565160319,0.9232290387153625,0.030246689809969272,494021,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,labelencoder
1,0.9943099617958069,0.0020032561571450918,0.9217725396156311,0.028990428662853576,494021,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,labelencoder
2,0.9964393973350525,0.0012283409849058434,0.92393958568573,0.029400203469844555,494021,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,labelencoder
3,0.9972450733184814,0.0009364883586642997,0.9239234924316406,0.02945941038213499,494021,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,labelencoder
4,0.997813880443573,0.000726971734436137,0.9206504821777344,0.02985262075745613,494021,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,labelencoder
0,0.9780333042144775,0.008171527834180521,0.9235987663269043,0.029933193028137503,494021,4,mse,nadam,sigmoid,2,128,1024,0.2,CuDNNLSTM,labelencoder
1,0.9462026953697205,0.019966983150334364,0.9240392446517944,0.029586646511719678,494021,4,mse,nadam,sigmoid,2,128,1024,0.2,CuDNNLSTM,labelencoder
2,0.9945427179336548,0.002056054385442594,0.9239428043365479,0.028124314752549277,494021,4,mse,nadam,sigmoid,2,128,1024,0.2,CuDNNLSTM,labelencoder
3,0.9959859848022461,0.0014349679124534272,0.9221262335777283,0.02915926771928429,494021,4,mse,nadam,sigmoid,2,128,1024,0.2,CuDNNLSTM,labelencoder
4,0.994506299495697,0.0019786839563183164,0.9237369894981384,0.02888907830694632,494021,4,mse,nadam,sigmoid,2,128,1024,0.2,CuDNNLSTM,labelencoder
0,0.9684972763061523,0.01082215615493902,0.9230875372886658,0.0298361953586174,494021,4,mse,adamax,sigmoid,2,128,1024,0.2,CuDNNLSTM,labelencoder
1,0.994293749332428,0.002177197829168885,0.9236823320388794,0.029757134572645817,494021,4,mse,adamax,sigmoid,2,128,1024,0.2,CuDNNLSTM,labelencoder
2,0.9945103526115417,0.0020822763054894233,0.9242739677429199,0.029554371842375585,494021,4,mse,adamax,sigmoid,2,128,1024,0.2,CuDNNLSTM,labelencoder
3,0.9945994019508362,0.0020090763348932284,0.9243060946464539,0.029539231860206988,494021,4,mse,adamax,sigmoid,2,128,1024,0.2,CuDNNLSTM,labelencoder
4,0.9947026371955872,0.0018903802382698913,0.9242514371871948,0.029602409824327488,494021,4,mse,adamax,sigmoid,2,128,1024,0.2,CuDNNLSTM,labelencoder
0,0.8813248872756958,0.039040053421875456,0.9201071262359619,0.029340266821334636,494021,4,mse,adadelta,sigmoid,2,128,1024,0.2,CuDNNLSTM,labelencoder
1,0.9873932600021362,0.004697245172554226,0.9208241105079651,0.03064923885939171,494021,4,mse,adadelta,sigmoid,2,128,1024,0.2,CuDNNLSTM,labelencoder
2,0.9907332062721252,0.003432855543908535,0.9193997979164124,0.030942090999180508,494021,4,mse,adadelta,sigmoid,2,128,1024,0.2,CuDNNLSTM,labelencoder
3,0.9913161396980286,0.003193277578828663,0.9215957522392273,0.030531757457321593,494021,4,mse,adadelta,sigmoid,2,128,1024,0.2,CuDNNLSTM,labelencoder
4,0.9929294586181641,0.0026766019447867066,0.9224573969841003,0.03048236723410924,494021,4,mse,adadelta,sigmoid,2,128,1024,0.2,CuDNNLSTM,labelencoder
0,0.9783875346183777,0.008043694972329861,0.9233640432357788,0.029916579251369795,494021,4,mse,nadam,sigmoid,2,128,1024,0.2,CuDNNLSTM,labelencoder
1,0.9944658279418945,0.0020913058477010104,0.9242193102836609,0.0292861643159348,494021,4,mse,nadam,sigmoid,2,128,1024,0.2,CuDNNLSTM,labelencoder
2,0.9773430824279785,0.008543654020531873,0.9250841736793518,0.029310155323183963,494021,4,mse,nadam,sigmoid,2,128,1024,0.2,CuDNNLSTM,labelencoder
3,0.9809866547584534,0.006473466461102498,0.9246308207511902,0.0292748549915141,494021,4,mse,nadam,sigmoid,2,128,1024,0.2,CuDNNLSTM,labelencoder
4,0.994712769985199,0.001949642250207708,0.9240006804466248,0.029633325649811998,494021,4,mse,nadam,sigmoid,2,128,1024,0.2,CuDNNLSTM,labelencoder
0,0.8834867477416992,0.04531452397716302,0.7390082478523254,0.10439641373090884,494021,4,mse,nadam,softmax,2,128,1024,0.2,CuDNNLSTM,labelencoder
1,0.7923914194107056,0.08304287866435855,0.7390082478523254,0.10439611472578521,494021,4,mse,nadam,softmax,2,128,1024,0.2,CuDNNLSTM,labelencoder
2,0.7920857667922974,0.0831083048682976,0.7390082478523254,0.10439498281124755,494021,4,mse,nadam,softmax,2,128,1024,0.2,CuDNNLSTM,labelencoder
3,0.8895208835601807,0.042753371808587445,0.9194802045822144,0.028333171431562124,494021,4,mse,nadam,softmax,2,128,1024,0.2,CuDNNLSTM,labelencoder
4,0.9865005612373352,0.005051333175089302,0.9207951426506042,0.030224582396056215,494021,4,mse,nadam,softmax,2,128,1024,0.2,CuDNNLSTM,labelencoder
0,0.977834939956665,0.008919141121657152,0.9234187006950378,0.028915001880308842,494021,4,mse,nadam,relu,2,128,1024,0.2,CuDNNLSTM,labelencoder
1,0.9726995229721069,0.007675091932102741,0.721617579460144,0.05730860760901098,494021,4,mse,nadam,relu,2,128,1024,0.2,CuDNNLSTM,labelencoder
2,0.7901384830474854,0.042515604111316115,0.7210003137588501,0.057020586495039424,494021,4,mse,nadam,relu,2,128,1024,0.2,CuDNNLSTM,labelencoder
3,0.790114164352417,0.04237204732216701,0.7199971675872803,0.057085509814958205,494021,4,mse,nadam,relu,2,128,1024,0.2,CuDNNLSTM,labelencoder
