epochs,acc,loss,val_acc,val_loss,train_data,features_nb,loss_fct,optimizer,activation_fct,layer_nb,unit_nb,batch_size,dropout,cell_type,encoder
0,0.9776365756988525,0.008212657775965184,0.9242803454399109,0.02959444219925662,494021,4,mse,nadam,sigmoid,1,128,1024,0.2,CuDNNLSTM,labelencoder
1,0.9949395060539246,0.0019164652514137802,0.9218497276306152,0.030914401208261083,494021,4,mse,nadam,sigmoid,1,128,1024,0.2,CuDNNLSTM,labelencoder
2,0.9890186786651611,0.004052450392187188,0.9239428043365479,0.028439071400823038,494021,4,mse,nadam,sigmoid,1,128,1024,0.2,CuDNNLSTM,labelencoder
3,0.9965547919273376,0.0012734255411546494,0.9239073991775513,0.02851279390692312,494021,4,mse,nadam,sigmoid,1,128,1024,0.2,CuDNNLSTM,labelencoder
4,0.9967470765113831,0.0011735068521377624,0.9249073266983032,0.029324250383174634,494021,4,mse,nadam,sigmoid,1,128,1024,0.2,CuDNNLSTM,labelencoder
0,0.9169063568115234,0.031213119092674105,0.9221262335777283,0.029945972866847987,494021,4,mse,nadam,sigmoid,2,128,1024,0.2,CuDNNLSTM,labelencoder
1,0.9944719076156616,0.0021179714078971377,0.923968493938446,0.029381223647153176,494021,4,mse,nadam,sigmoid,2,128,1024,0.2,CuDNNLSTM,labelencoder
2,0.9955163598060608,0.0016695393099770775,0.9227499961853027,0.02929398397408452,494021,4,mse,nadam,sigmoid,2,128,1024,0.2,CuDNNLSTM,labelencoder
3,0.9964434504508972,0.0012858622167538566,0.9218079447746277,0.030132029109167305,494021,4,mse,nadam,sigmoid,2,128,1024,0.2,CuDNNLSTM,labelencoder
4,0.981664776802063,0.006611943424823338,0.9233897924423218,0.028996058586295448,494021,4,mse,nadam,sigmoid,2,128,1024,0.2,CuDNNLSTM,labelencoder
