epochs,acc,loss,val_acc,val_loss,train_data,features_nb,loss_fct,optimizer,activation_fct,layer_nb,unit_nb,batch_size,dropout,cell_type,encoder
0,0.9719829559326172,0.010404947046101953,0.9237498641014099,0.029867000597989427,494021,4,mse,adam,sigmoid,2,128,1024,0.2,CuDNNLSTM,labelencoder
1,0.994451642036438,0.002104483390577697,0.9247915744781494,0.029210014826197818,494021,4,mse,adam,sigmoid,2,128,1024,0.2,CuDNNLSTM,labelencoder
2,0.994712769985199,0.0018963129472398857,0.9214639067649841,0.0285305645514896,494021,4,mse,adam,sigmoid,2,128,1024,0.2,CuDNNLSTM,labelencoder
3,0.996502161026001,0.0012789914630183701,0.9247240424156189,0.029196613904967354,494021,4,mse,adam,sigmoid,2,128,1024,0.2,CuDNNLSTM,labelencoder
4,0.996769368648529,0.00109177005869874,0.9217950701713562,0.029728915508348563,494021,4,mse,adam,sigmoid,2,128,1024,0.2,CuDNNLSTM,labelencoder
0,0.7856548428535461,0.13282297504681692,0.7390082478523254,0.09930229350267225,494021,4,mse,sgd,sigmoid,2,128,1024,0.2,CuDNNLSTM,labelencoder
1,0.7923914194107056,0.08151407660188897,0.7390082478523254,0.08787126828977812,494021,4,mse,sgd,sigmoid,2,128,1024,0.2,CuDNNLSTM,labelencoder
2,0.7923914194107056,0.07347997114036098,0.7390082478523254,0.08513421048138038,494021,4,mse,sgd,sigmoid,2,128,1024,0.2,CuDNNLSTM,labelencoder
3,0.7923914194107056,0.07067498782148715,0.7390082478523254,0.08394947251570743,494021,4,mse,sgd,sigmoid,2,128,1024,0.2,CuDNNLSTM,labelencoder
4,0.7923914194107056,0.06924416660918473,0.7390082478523254,0.08327509135838508,494021,4,mse,sgd,sigmoid,2,128,1024,0.2,CuDNNLSTM,labelencoder
0,0.9734808802604675,0.009397672565160319,0.9232290387153625,0.030246689809969272,494021,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,labelencoder
1,0.9943099617958069,0.0020032561571450918,0.9217725396156311,0.028990428662853576,494021,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,labelencoder
2,0.9964393973350525,0.0012283409849058434,0.92393958568573,0.029400203469844555,494021,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,labelencoder
3,0.9972450733184814,0.0009364883586642997,0.9239234924316406,0.02945941038213499,494021,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,labelencoder
4,0.997813880443573,0.000726971734436137,0.9206504821777344,0.02985262075745613,494021,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,labelencoder
0,0.9780333042144775,0.008171527834180521,0.9235987663269043,0.029933193028137503,494021,4,mse,nadam,sigmoid,2,128,1024,0.2,CuDNNLSTM,labelencoder
1,0.9462026953697205,0.019966983150334364,0.9240392446517944,0.029586646511719678,494021,4,mse,nadam,sigmoid,2,128,1024,0.2,CuDNNLSTM,labelencoder
2,0.9945427179336548,0.002056054385442594,0.9239428043365479,0.028124314752549277,494021,4,mse,nadam,sigmoid,2,128,1024,0.2,CuDNNLSTM,labelencoder
3,0.9959859848022461,0.0014349679124534272,0.9221262335777283,0.02915926771928429,494021,4,mse,nadam,sigmoid,2,128,1024,0.2,CuDNNLSTM,labelencoder
4,0.994506299495697,0.0019786839563183164,0.9237369894981384,0.02888907830694632,494021,4,mse,nadam,sigmoid,2,128,1024,0.2,CuDNNLSTM,labelencoder
0,0.9684972763061523,0.01082215615493902,0.9230875372886658,0.0298361953586174,494021,4,mse,adamax,sigmoid,2,128,1024,0.2,CuDNNLSTM,labelencoder
1,0.994293749332428,0.002177197829168885,0.9236823320388794,0.029757134572645817,494021,4,mse,adamax,sigmoid,2,128,1024,0.2,CuDNNLSTM,labelencoder
2,0.9945103526115417,0.0020822763054894233,0.9242739677429199,0.029554371842375585,494021,4,mse,adamax,sigmoid,2,128,1024,0.2,CuDNNLSTM,labelencoder
3,0.9945994019508362,0.0020090763348932284,0.9243060946464539,0.029539231860206988,494021,4,mse,adamax,sigmoid,2,128,1024,0.2,CuDNNLSTM,labelencoder
4,0.9947026371955872,0.0018903802382698913,0.9242514371871948,0.029602409824327488,494021,4,mse,adamax,sigmoid,2,128,1024,0.2,CuDNNLSTM,labelencoder
0,0.8813248872756958,0.039040053421875456,0.9201071262359619,0.029340266821334636,494021,4,mse,adadelta,sigmoid,2,128,1024,0.2,CuDNNLSTM,labelencoder
1,0.9873932600021362,0.004697245172554226,0.9208241105079651,0.03064923885939171,494021,4,mse,adadelta,sigmoid,2,128,1024,0.2,CuDNNLSTM,labelencoder
2,0.9907332062721252,0.003432855543908535,0.9193997979164124,0.030942090999180508,494021,4,mse,adadelta,sigmoid,2,128,1024,0.2,CuDNNLSTM,labelencoder
3,0.9913161396980286,0.003193277578828663,0.9215957522392273,0.030531757457321593,494021,4,mse,adadelta,sigmoid,2,128,1024,0.2,CuDNNLSTM,labelencoder
4,0.9929294586181641,0.0026766019447867066,0.9224573969841003,0.03048236723410924,494021,4,mse,adadelta,sigmoid,2,128,1024,0.2,CuDNNLSTM,labelencoder
