epochs,acc,loss,val_acc,val_loss,train_data,features_nb,loss_fct,optimizer,activation_fct,layer_nb,unit_nb,batch_size,dropout,cell_type,encoder
0,0.9478402740050158,0.019961403383203673,0.8760276372942716,0.046154191993013495,10p,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
1,0.9718979557421282,0.010232928828366527,0.8761273064569541,0.039515725500234584,10p,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
2,0.9791547322767639,0.007369687889588646,0.88169591902177,0.03348891826898155,10p,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
3,0.9842192943309073,0.005503024654904388,0.9164097238664894,0.030398995841043962,10p,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
4,0.9863042259217708,0.004803257094246143,0.9148535988749292,0.029412086070368403,10p,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
5,0.9875653059060905,0.004447987553435163,0.9148600291434893,0.02930086268488729,10p,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
6,0.9881361318417952,0.00424661173246794,0.9164965324920517,0.028241985552516412,10p,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
7,0.9885672876134802,0.004115456030184589,0.9220812207365562,0.027251093116329568,10p,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
8,0.9888810394802374,0.003995242524404929,0.9246919097719838,0.028156557210720863,10p,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
9,0.9891725250648584,0.0038497080578931745,0.925357442567961,0.02735221089716024,10p,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
10,0.989571293505808,0.0035049858592735724,0.9301576380481252,0.02650904267255385,10p,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
11,0.9914355867241125,0.002934098207072389,0.9279199045891874,0.026788274363049865,10p,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
12,0.9923181403322255,0.0027303339081284285,0.9210363020955292,0.027521906634582344,10p,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
13,0.9922796804286992,0.0026634823139341838,0.9210266566926889,0.02853192789209178,10p,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
14,0.99269261831889,0.0024990316492332835,0.9211038199154109,0.02905720450256253,10p,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
15,0.9928464579543509,0.0024550782803242515,0.9209269875300063,0.02918574529945637,10p,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
16,0.9932209359410155,0.002326434043831079,0.9203354028224711,0.028275167807292757,10p,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
17,0.9932229601789195,0.002274268692412219,0.9210813139754503,0.028231994899969668,10p,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
18,0.9934537195667779,0.0021949744476896997,0.9211970588095334,0.027750536738110173,10p,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
19,0.993822124948196,0.0021170742897715106,0.9202003671827076,0.028205324711710843,10p,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
20,0.9941500462744499,0.0020165924341900296,0.9201553553027864,0.02934437839709515,10p,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
21,0.9939698919784106,0.002027708598910529,0.9181233904377738,0.02863373173008809,10p,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
22,0.9940184729202808,0.0020289472163588264,0.9197470332492158,0.02908286795164329,10p,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
23,0.9942107724148681,0.0019982139382480183,0.9196988062350145,0.02793786819915427,10p,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
24,0.994206724027015,0.001962687529679691,0.9208884059186454,0.02807726366938422,10p,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
25,0.9944597496756542,0.0019196732566762232,0.9202678850025893,0.02901623451849676,10p,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
26,0.9943767572847106,0.0019405750307288708,0.9195798462666515,0.02790697836738087,10p,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
27,0.9944415318377154,0.0018975739748965535,0.9200749769457843,0.027471871555683713,10p,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
28,0.9943727088294132,0.001926529448816629,0.91952197384961,0.028218118158152304,10p,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
29,0.9944516528649592,0.0019053157330918267,0.9193901533441265,0.029551056196735308,10p,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
30,0.9946500249767373,0.001840484495049897,0.9206279800419587,0.02824398164332004,10p,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
31,0.9943484183870727,0.0019325762763962957,0.9198627780832989,0.029088495343369363,10p,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
32,0.9944617738913584,0.001872080992170441,0.9199945985887822,0.02911961703502967,10p,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
33,0.9943828298686015,0.0019094514844293139,0.9205572470877967,0.02887917115087822,10p,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
34,0.9939010689820529,0.0020865006389091897,0.9196570094893735,0.029328501428105943,10p,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
35,0.9945447663369574,0.0018600152152749227,0.9194158744183673,0.028769830001164513,10p,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
36,0.9945103548118731,0.0018699539013592008,0.9193001295842843,0.02951270727433289,10p,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
37,0.9946925332911613,0.0018019619255993503,0.9198081208005374,0.029366014219872134,10p,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
38,0.9942127966024603,0.0019342607591290126,0.9198370570090582,0.02913697413011307,10p,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
39,0.9947998161910453,0.0017687501952677023,0.9203997055080727,0.02892610327968702,10p,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
40,0.9943848541065057,0.0019040924899958133,0.9166894405488567,0.029449553176078724,10p,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
