epochs,acc,loss,val_acc,val_loss,train_data,features_nb,loss_fct,optimizer,activation_fct,layer_nb,unit_nb,batch_size,dropout,cell_type,encoder
0,0.9494535657254746,0.021160727657793307,0.8760597886370725,0.046670294256552766,10p,4,mse,rmsprop,sigmoid,1,128,1024,0.1,CuDNNLSTM,standardscaler
1,0.9725112899811568,0.010298383314923045,0.8762784177681181,0.04173722696872635,10p,4,mse,rmsprop,sigmoid,1,128,1024,0.1,CuDNNLSTM,standardscaler
2,0.9784887687157339,0.007537686966491971,0.9169916631711845,0.02722234957046771,10p,4,mse,rmsprop,sigmoid,1,128,1024,0.1,CuDNNLSTM,standardscaler
3,0.9859378447688459,0.005083798877471503,0.9175414511330787,0.026822548301996936,10p,4,mse,rmsprop,sigmoid,1,128,1024,0.1,CuDNNLSTM,standardscaler
4,0.9869661411257141,0.004580399448595703,0.9234412225370314,0.025795501862688055,10p,4,mse,rmsprop,sigmoid,1,128,1024,0.1,CuDNNLSTM,standardscaler
5,0.9879073966704857,0.004353512922961184,0.915194403108618,0.027085059111469616,10p,4,mse,rmsprop,sigmoid,1,128,1024,0.1,CuDNNLSTM,standardscaler
6,0.9883486734250146,0.004224211669550365,0.9144452768213586,0.028018725180190527,10p,4,mse,rmsprop,sigmoid,1,128,1024,0.1,CuDNNLSTM,standardscaler
7,0.9885470455811927,0.004090620655614217,0.9165801259833338,0.02733581187326397,10p,4,mse,rmsprop,sigmoid,1,128,1024,0.1,CuDNNLSTM,standardscaler
8,0.988777804969051,0.00399651796876871,0.9232033026003053,0.026471770416990392,10p,4,mse,rmsprop,sigmoid,1,128,1024,0.1,CuDNNLSTM,standardscaler
9,0.9890065402180603,0.003873106083848119,0.924081034258768,0.025888354498584846,10p,4,mse,rmsprop,sigmoid,1,128,1024,0.1,CuDNNLSTM,standardscaler
10,0.9891887186862485,0.0037332361052394443,0.9292445399125816,0.024983958608417865,10p,4,mse,rmsprop,sigmoid,1,128,1024,0.1,CuDNNLSTM,standardscaler
11,0.9894903252989576,0.0035673746888705607,0.9303505461049303,0.02520584635669219,10p,4,mse,rmsprop,sigmoid,1,128,1024,0.1,CuDNNLSTM,standardscaler
12,0.9901481921022589,0.0033560445196410167,0.8938652022718849,0.028358483608858922,10p,4,mse,rmsprop,sigmoid,1,128,1024,0.1,CuDNNLSTM,standardscaler
13,0.9914558288110554,0.003031755388138861,0.9306206173844572,0.025778460959874492,10p,4,mse,rmsprop,sigmoid,1,128,1024,0.1,CuDNNLSTM,standardscaler
14,0.9923464791760527,0.002676688185044608,0.9291545161527393,0.025653458567295298,10p,4,mse,rmsprop,sigmoid,1,128,1024,0.1,CuDNNLSTM,standardscaler
15,0.9927189329897239,0.0024720806022292333,0.9291513010184592,0.025938643961637278,10p,4,mse,rmsprop,sigmoid,1,128,1024,0.1,CuDNNLSTM,standardscaler
