epochs,acc,loss,val_acc,val_loss,train_data,features_nb,loss_fct,optimizer,activation_fct,layer_nb,unit_nb,batch_size,dropout,cell_type,encoder
0,0.9382111286519825,0.028733584846767954,0.8640191107581608,0.05173830143247778,10p,4,mse,adam,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
1,0.9648233576987252,0.012614659639106221,0.8757318449405039,0.0458047489238889,10p,4,mse,adam,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
2,0.9721104973458584,0.010561222882313292,0.8759601194743899,0.04504379652913963,10p,4,mse,adam,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
3,0.9770961153251233,0.008274308562807019,0.8739635210864581,0.04371731356776847,10p,4,mse,adam,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
4,0.9779017491355946,0.00823673039699206,0.8746226236138752,0.045148591011566624,10p,4,mse,adam,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
5,0.9805615550636494,0.006989363100299276,0.879725041708079,0.04307707891983014,10p,4,mse,adam,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
6,0.9767337825711514,0.008506141464788449,0.9160239077528795,0.03034058134746233,10p,4,mse,adam,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
7,0.9877495086121828,0.004407876511404781,0.914847168606369,0.031008050234830577,10p,4,mse,adam,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
8,0.9837537270435488,0.00600858435924802,0.8763041388423588,0.042910108135891696,10p,4,mse,adam,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
9,0.9882555599854718,0.004268286258785039,0.9162328914810849,0.030059061048794817,10p,4,mse,adam,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
10,0.9885369245420044,0.004164182472381992,0.915429107911064,0.031441726934691897,10p,4,mse,adam,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
11,0.9887332724500228,0.0041059900467062815,0.9163486363151678,0.030100801364621912,10p,4,mse,adam,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
12,0.9890186854507529,0.0039994574486441935,0.8809210716602699,0.038174194315297984,10p,4,mse,adam,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
13,0.9891846702761955,0.00393321057512146,0.9161171466470018,0.03027409207928511,10p,4,mse,adam,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
14,0.9892372996503186,0.0038922851065551615,0.9164643811492509,0.02967128438816984,10p,4,mse,adam,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
15,0.9893628003881414,0.003851634434082852,0.916506177894892,0.03211567729671629,10p,4,mse,adam,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
16,0.989540930434332,0.003786882558389978,0.919329065792805,0.029838505456852352,10p,4,mse,adam,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
17,0.9898141981707587,0.0037872713546091468,0.9162136006754044,0.029582406886730514,10p,4,mse,adam,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
18,0.9897737140617836,0.0037512301224484138,0.9158374299646347,0.03143256513842755,10p,4,mse,adam,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
19,0.9895712935271633,0.003833236557028705,0.9184223979258216,0.029688189278072714,10p,4,mse,adam,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
20,0.9890915568358082,0.003990395423904974,0.9181426812434543,0.027220088081508977,10p,4,mse,adam,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
