epochs,acc,loss,val_acc,val_loss,train_data,features_nb,loss_fct,optimizer,activation_fct,layer_nb,unit_nb,batch_size,dropout,cell_type,encoder
0,0.9512206970941833,0.020401121747848323,0.8760533583685123,0.04714956605581851,10p,4,mse,rmsprop,sigmoid,1,128,1024,0.2,CuDNNLSTM,standardscaler
1,0.972877671199837,0.010051120010284558,0.8760340675628318,0.036248212017725726,10p,4,mse,rmsprop,sigmoid,1,128,1024,0.2,CuDNNLSTM,standardscaler
2,0.9800980120158842,0.006890784853708606,0.9177247137870435,0.029396986022609952,10p,4,mse,rmsprop,sigmoid,1,128,1024,0.2,CuDNNLSTM,standardscaler
3,0.9860248855809425,0.0050825955661450905,0.8820656594639795,0.037089830214601806,10p,4,mse,rmsprop,sigmoid,1,128,1024,0.2,CuDNNLSTM,standardscaler
4,0.9870774724253957,0.004648581434671446,0.9156702429820703,0.026938847960651567,10p,4,mse,rmsprop,sigmoid,1,128,1024,0.2,CuDNNLSTM,standardscaler
5,0.9876908066652689,0.004463973679322351,0.9151108096173358,0.028500208085393566,10p,4,mse,rmsprop,sigmoid,1,128,1024,0.2,CuDNNLSTM,standardscaler
6,0.9881442287071456,0.004317935753758018,0.9138697677852238,0.028648659331506118,10p,4,mse,rmsprop,sigmoid,1,128,1024,0.2,CuDNNLSTM,standardscaler
7,0.9885956265111183,0.0041981175640201625,0.9170816869310269,0.027859927127987863,10p,4,mse,rmsprop,sigmoid,1,128,1024,0.2,CuDNNLSTM,standardscaler
8,0.9887433935097221,0.004108129600390103,0.9251838253168365,0.02780467435840895,10p,4,mse,rmsprop,sigmoid,1,128,1024,0.2,CuDNNLSTM,standardscaler
9,0.9890065402180603,0.004035469735436558,0.9232836809573074,0.026726844538872394,10p,4,mse,rmsprop,sigmoid,1,128,1024,0.2,CuDNNLSTM,standardscaler
10,0.9891624040376146,0.003956988292256347,0.9170784717967467,0.028199384984186854,10p,4,mse,rmsprop,sigmoid,1,128,1024,0.2,CuDNNLSTM,standardscaler
