epochs,acc,loss,val_acc,val_loss,train_data,features_nb,loss_fct,optimizer,activation_fct,layer_nb,unit_nb,batch_size,dropout,cell_type,encoder
0,0.7847217021294418,0.11802604152640911,0.7390082596799655,0.06963879909094592,10p,4,mse,rmsprop,sigmoid,1,4,1024,0.2,CuDNNLSTM,standardscaler
1,0.9056436872160207,0.03959013739121725,0.8640737680409222,0.04935393051730678,10p,4,mse,rmsprop,sigmoid,1,4,1024,0.2,CuDNNLSTM,standardscaler
2,0.9415166561600569,0.02446934292083701,0.8640801983094824,0.049658456097475004,10p,4,mse,rmsprop,sigmoid,1,4,1024,0.2,CuDNNLSTM,standardscaler
3,0.952246969276369,0.01908871477439296,0.8659289005205303,0.050528562589426326,10p,4,mse,rmsprop,sigmoid,1,4,1024,0.2,CuDNNLSTM,standardscaler
4,0.9595219636173327,0.016295867105492613,0.8691922618148147,0.05101556823584668,10p,4,mse,rmsprop,sigmoid,1,4,1024,0.2,CuDNNLSTM,standardscaler
5,0.9630744441901552,0.015236662382571363,0.8715071584964746,0.05091729470438459,10p,4,mse,rmsprop,sigmoid,1,4,1024,0.2,CuDNNLSTM,standardscaler
6,0.9632424532637575,0.014729382428406492,0.872683897642985,0.05100255214813442,10p,4,mse,rmsprop,sigmoid,1,4,1024,0.2,CuDNNLSTM,standardscaler
7,0.9633598571481744,0.014463513216218117,0.8727707062685474,0.050961154075768386,10p,4,mse,rmsprop,sigmoid,1,4,1024,0.2,CuDNNLSTM,standardscaler
8,0.9637910129403704,0.014247281849934028,0.8726517463001843,0.05093279236328822,10p,4,mse,rmsprop,sigmoid,1,4,1024,0.2,CuDNNLSTM,standardscaler
9,0.964732268462942,0.014071184295981972,0.8726195949573834,0.050831539270058464,10p,4,mse,rmsprop,sigmoid,1,4,1024,0.2,CuDNNLSTM,standardscaler
10,0.9648516965861077,0.013943564878639982,0.8721630458896116,0.050728868169412474,10p,4,mse,rmsprop,sigmoid,1,4,1024,0.2,CuDNNLSTM,standardscaler
11,0.964956955280543,0.013813870883840295,0.8720183648470078,0.050590773133509986,10p,4,mse,rmsprop,sigmoid,1,4,1024,0.2,CuDNNLSTM,standardscaler
12,0.9677179715015466,0.012358449357322245,0.900514099985758,0.0388292387046718,10p,4,mse,rmsprop,sigmoid,1,4,1024,0.2,CuDNNLSTM,standardscaler
13,0.9823772673622837,0.006812805566844742,0.9033144819437106,0.035900200111151755,10p,4,mse,rmsprop,sigmoid,1,4,1024,0.2,CuDNNLSTM,standardscaler
14,0.98428002047217,0.006067458502060059,0.9035684775518371,0.03556941990579768,10p,4,mse,rmsprop,sigmoid,1,4,1024,0.2,CuDNNLSTM,standardscaler
15,0.9848508464095639,0.005844621193160429,0.9032694700637894,0.03667872251996635,10p,4,mse,rmsprop,sigmoid,1,4,1024,0.2,CuDNNLSTM,standardscaler
16,0.9849722987356446,0.005744373944975041,0.9037999672200031,0.03576305945636392,10p,4,mse,rmsprop,sigmoid,1,4,1024,0.2,CuDNNLSTM,standardscaler
17,0.9850188554507107,0.005657208062392639,0.9038771304427251,0.03582173507398735,10p,4,mse,rmsprop,sigmoid,1,4,1024,0.2,CuDNNLSTM,standardscaler
18,0.9850917268793212,0.00561817284337067,0.9038803455770051,0.03573123259251098,10p,4,mse,rmsprop,sigmoid,1,4,1024,0.2,CuDNNLSTM,standardscaler
19,0.9852617601259168,0.005563353594533633,0.9108025296820244,0.03496495283511377,10p,4,mse,rmsprop,sigmoid,1,4,1024,0.2,CuDNNLSTM,standardscaler
20,0.9853062926560449,0.005511650321564264,0.9039253574569264,0.03568686623165703,10p,4,mse,rmsprop,sigmoid,1,4,1024,0.2,CuDNNLSTM,standardscaler
21,0.9853730914050876,0.00547824190853953,0.9109857923359891,0.035000251327911486,10p,4,mse,rmsprop,sigmoid,1,4,1024,0.2,CuDNNLSTM,standardscaler
22,0.9854479870383024,0.005439000879643948,0.9040378871567293,0.035823660596011546,10p,4,mse,rmsprop,sigmoid,1,4,1024,0.2,CuDNNLSTM,standardscaler
23,0.9853994060742323,0.005437314950849852,0.903986445008248,0.035448524061432896,10p,4,mse,rmsprop,sigmoid,1,4,1024,0.2,CuDNNLSTM,standardscaler
24,0.9855147857967559,0.0053636589701157675,0.9040732536338102,0.03611005153783603,10p,4,mse,rmsprop,sigmoid,1,4,1024,0.2,CuDNNLSTM,standardscaler
25,0.9855471731052914,0.005346794857164663,0.9043561854504575,0.03538620677777762,10p,4,mse,rmsprop,sigmoid,1,4,1024,0.2,CuDNNLSTM,standardscaler
26,0.9853609461715505,0.005332890182863855,0.9042050741392936,0.03646633661051849,10p,4,mse,rmsprop,sigmoid,1,4,1024,0.2,CuDNNLSTM,standardscaler
27,0.9852658085590142,0.005281674740118767,0.904224364944974,0.036324561582170456,10p,4,mse,rmsprop,sigmoid,1,4,1024,0.2,CuDNNLSTM,standardscaler
28,0.9853245104845728,0.00516327989918087,0.9042372254820944,0.036305894357681716,10p,4,mse,rmsprop,sigmoid,1,4,1024,0.2,CuDNNLSTM,standardscaler
29,0.9852820022026043,0.005120782887034468,0.9039960904110882,0.03567199850342174,10p,4,mse,rmsprop,sigmoid,1,4,1024,0.2,CuDNNLSTM,standardscaler
30,0.985443938595794,0.005048677457453198,0.9040475325595695,0.0356516307740395,10p,4,mse,rmsprop,sigmoid,1,4,1024,0.2,CuDNNLSTM,standardscaler
31,0.9855532456891822,0.005022536747735142,0.9039575087997271,0.0363813703276934,10p,4,mse,rmsprop,sigmoid,1,4,1024,0.2,CuDNNLSTM,standardscaler
32,0.9856240929123441,0.004997738613921487,0.9110693858272713,0.03488456622805236,10p,4,mse,rmsprop,sigmoid,1,4,1024,0.2,CuDNNLSTM,standardscaler
33,0.98604512762433,0.004945900418990994,0.9043272492419367,0.035852588034165966,10p,4,mse,rmsprop,sigmoid,1,4,1024,0.2,CuDNNLSTM,standardscaler
34,0.986128120058829,0.004916744247830791,0.9038642699056048,0.03637760850282883,10p,4,mse,rmsprop,sigmoid,1,4,1024,0.2,CuDNNLSTM,standardscaler
35,0.9861139506317878,0.004923111125322133,0.9039832298739678,0.036561650925238505,10p,4,mse,rmsprop,sigmoid,1,4,1024,0.2,CuDNNLSTM,standardscaler
36,0.9862009914549842,0.004899849450119541,0.9040185963510488,0.036542445766799006,10p,4,mse,rmsprop,sigmoid,1,4,1024,0.2,CuDNNLSTM,standardscaler
37,0.986360903663236,0.004855547729157221,0.91140697492668,0.035347036213187015,10p,4,mse,rmsprop,sigmoid,1,4,1024,0.2,CuDNNLSTM,standardscaler
38,0.9862860080829874,0.0048768935708982065,0.9044622848817002,0.036129040295746456,10p,4,mse,rmsprop,sigmoid,1,4,1024,0.2,CuDNNLSTM,standardscaler
39,0.9866361956486668,0.004823032080583207,0.9044751454188206,0.035654603054969855,10p,4,mse,rmsprop,sigmoid,1,4,1024,0.2,CuDNNLSTM,standardscaler
40,0.9867819384179327,0.00481562540532924,0.9045490935072625,0.03671427928926662,10p,4,mse,rmsprop,sigmoid,1,4,1024,0.2,CuDNNLSTM,standardscaler
41,0.9867677690028359,0.004833441378184142,0.9114937835522422,0.03540261277509934,10p,4,mse,rmsprop,sigmoid,1,4,1024,0.2,CuDNNLSTM,standardscaler
42,0.9867799142022285,0.004805591686065195,0.9114712776122816,0.035356651899029395,10p,4,mse,rmsprop,sigmoid,1,4,1024,0.2,CuDNNLSTM,standardscaler
43,0.986862906658083,0.004785040330160499,0.9045587389101027,0.0369882319981778,10p,4,mse,rmsprop,sigmoid,1,4,1024,0.2,CuDNNLSTM,standardscaler
44,0.9868467129709375,0.004779765055297832,0.9044044124646587,0.0356162313004117,10p,4,mse,rmsprop,sigmoid,1,4,1024,0.2,CuDNNLSTM,standardscaler
45,0.9869620926926166,0.004736732560585951,0.9045490935072625,0.03610761767516769,10p,4,mse,rmsprop,sigmoid,1,4,1024,0.2,CuDNNLSTM,standardscaler
46,0.9867718173804335,0.004793890150886142,0.9115516559692838,0.035009530110847405,10p,4,mse,rmsprop,sigmoid,1,4,1024,0.2,CuDNNLSTM,standardscaler
47,0.9868791003025176,0.004777077239400408,0.904606965924304,0.03667257936056629,10p,4,mse,rmsprop,sigmoid,1,4,1024,0.2,CuDNNLSTM,standardscaler
48,0.9868548098371325,0.00474401346720476,0.9045908902529036,0.036362352150923205,10p,4,mse,rmsprop,sigmoid,1,4,1024,0.2,CuDNNLSTM,standardscaler
49,0.9868365919769937,0.00476068177939507,0.904606965924304,0.036137925277511515,10p,4,mse,rmsprop,sigmoid,1,4,1024,0.2,CuDNNLSTM,standardscaler
50,0.9868284951662987,0.00475397716161764,0.9113587479124787,0.03461010576923771,10p,4,mse,rmsprop,sigmoid,1,4,1024,0.2,CuDNNLSTM,standardscaler
51,0.9868831487023151,0.004732263177632218,0.9125033357161884,0.03444408240304595,10p,4,mse,rmsprop,sigmoid,1,4,1024,0.2,CuDNNLSTM,standardscaler
52,0.9869965041741454,0.0047062572561225955,0.9115034289550825,0.03475147717322097,10p,4,mse,rmsprop,sigmoid,1,4,1024,0.2,CuDNNLSTM,standardscaler
53,0.9869195843790373,0.0047310142984151125,0.9046616232070654,0.03702972819133666,10p,4,mse,rmsprop,sigmoid,1,4,1024,0.2,CuDNNLSTM,standardscaler
54,0.987008649406838,0.004713374508778223,0.9016876239979884,0.03776492554168899,10p,4,mse,rmsprop,sigmoid,1,4,1024,0.2,CuDNNLSTM,standardscaler
55,0.9869782863251066,0.004705622521852353,0.9044783605531007,0.03543609062375122,10p,4,mse,rmsprop,sigmoid,1,4,1024,0.2,CuDNNLSTM,standardscaler
56,0.9870228188560792,0.00467620092228888,0.9045040816273413,0.03580375902571801,10p,4,mse,rmsprop,sigmoid,1,4,1024,0.2,CuDNNLSTM,standardscaler
57,0.9870066252013893,0.0046702946731243065,0.9116577554005265,0.03489909741442705,10p,4,mse,rmsprop,sigmoid,1,4,1024,0.2,CuDNNLSTM,standardscaler
58,0.9869600684974232,0.004690514050757114,0.9116738310719269,0.034834384644841586,10p,4,mse,rmsprop,sigmoid,1,4,1024,0.2,CuDNNLSTM,standardscaler
59,0.9870612787818056,0.004657307808173763,0.9046262567299845,0.03595772628669594,10p,4,mse,rmsprop,sigmoid,1,4,1024,0.2,CuDNNLSTM,standardscaler
60,0.9869519716978282,0.004681416276314518,0.9045715994472231,0.036683747584501686,10p,4,mse,rmsprop,sigmoid,1,4,1024,0.2,CuDNNLSTM,standardscaler
61,0.9869155359672952,0.004702490064921701,0.9046423324013849,0.03577863369781959,10p,4,mse,rmsprop,sigmoid,1,4,1024,0.2,CuDNNLSTM,standardscaler
62,0.9869600685204678,0.0046811127056716586,0.9046648383413455,0.03595945748809183,10p,4,mse,rmsprop,sigmoid,1,4,1024,0.2,CuDNNLSTM,standardscaler
63,0.9870005526285983,0.0046625012389429855,0.9015815245667457,0.03716559589011404,10p,4,mse,rmsprop,sigmoid,1,4,1024,0.2,CuDNNLSTM,standardscaler
64,0.9869276812110878,0.004675900454566876,0.9045201572987418,0.03540391070306966,10p,4,mse,rmsprop,sigmoid,1,4,1024,0.2,CuDNNLSTM,standardscaler
65,0.9869661411137696,0.004669179750710627,0.9116448948634062,0.03477281921985188,10p,4,mse,rmsprop,sigmoid,1,4,1024,0.2,CuDNNLSTM,standardscaler
66,0.9870572303487082,0.004644311048307564,0.9046551929385053,0.03573488113720817,10p,4,mse,rmsprop,sigmoid,1,4,1024,0.2,CuDNNLSTM,standardscaler
67,0.9870794966410998,0.004658347732673823,0.9046680534756256,0.036250358126274466,10p,4,mse,rmsprop,sigmoid,1,4,1024,0.2,CuDNNLSTM,standardscaler
68,0.9870592545652569,0.004638585973121839,0.9115934527149248,0.03453117076592503,10p,4,mse,rmsprop,sigmoid,1,4,1024,0.2,CuDNNLSTM,standardscaler
69,0.9870349641109718,0.0046614003614521456,0.9045555237758227,0.035592884334002185,10p,4,mse,rmsprop,sigmoid,1,4,1024,0.2,CuDNNLSTM,standardscaler
70,0.9871462953987088,0.004629804502514004,0.9116095283863253,0.034530184281133545,10p,4,mse,rmsprop,sigmoid,1,4,1024,0.2,CuDNNLSTM,standardscaler
71,0.9872758445260739,0.004617930623189423,0.904687344281306,0.03588912132385487,10p,4,mse,rmsprop,sigmoid,1,4,1024,0.2,CuDNNLSTM,standardscaler
