epochs,acc,loss,val_acc,val_loss,train_data,features_nb,loss_fct,optimizer,activation_fct,layer_nb,unit_nb,batch_size,dropout,cell_type,encoder
0,0.9350108598802097,0.028499922742411796,0.8640737680409222,0.05148227061733887,10p,4,mse,adam,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
1,0.949287580911132,0.015912001628351987,0.8640158956238807,0.05148068120876275,10p,4,mse,adam,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
2,0.9539655196826967,0.014808717742114372,0.87635236585656,0.04637789584262738,10p,4,mse,adam,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
3,0.9720619164039883,0.010476991374042994,0.8762977085737986,0.041889175764187,10p,4,mse,adam,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
4,0.978260033489769,0.00797789608830509,0.9152040485114582,0.02938348685718728,10p,4,mse,adam,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
5,0.9866260745770231,0.004875076726601569,0.8798118503336413,0.031849475355082715,10p,4,mse,adam,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
6,0.9830553762081279,0.006242107753273415,0.8731629526507174,0.04510877169613219,10p,4,mse,adam,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
7,0.9847840476305995,0.0055070264745068495,0.91681804592006,0.030573598377271548,10p,4,mse,adam,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
8,0.9873972968862992,0.00448853881069185,0.9149082561576906,0.028807521614902465,10p,4,mse,adam,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
9,0.9879903890930402,0.0043042578014179855,0.9148535988749292,0.029568346029325242,10p,4,mse,adam,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
10,0.9884498837077078,0.004160212721215053,0.9156831035191907,0.028322875823951085,10p,4,mse,adam,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
11,0.9886664737018247,0.004029483638516526,0.9168405518600206,0.027870752279383477,10p,4,mse,adam,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
12,0.9891745492592071,0.003798222139520942,0.9201939369141474,0.026930207727143166,10p,4,mse,adam,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
13,0.9903283463760981,0.0034816376406394643,0.9236662819366372,0.025617265140179705,10p,4,mse,adam,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
14,0.9928282400728567,0.002535615950561607,0.9295821290119903,0.02687557246458013,10p,4,mse,adam,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
15,0.991259480871426,0.0032257179338741047,0.9214189030748591,0.02579147510702105,10p,4,mse,adam,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
16,0.9901846277670365,0.0035861178781428447,0.9293892209551854,0.02466342265855218,10p,4,mse,adam,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
17,0.9908890512956591,0.0033379305577883015,0.9233511987771891,0.028875704148140773,10p,4,mse,adam,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
18,0.9894012602481124,0.003907933387659335,0.924852666485988,0.02847003309306196,10p,4,mse,adam,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
19,0.9896846490220382,0.0037671101499375356,0.9232225934059858,0.028204989008320226,10p,4,mse,adam,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
20,0.9900105461317434,0.003536140685003649,0.9210073658870085,0.027580408110782554,10p,4,mse,adam,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
21,0.9940933685005293,0.0020880808153183376,0.9212935128379358,0.026642924522462415,10p,4,mse,adam,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
22,0.9945528631476525,0.0019311857970653631,0.9194094441498071,0.027753115991268874,10p,4,mse,adam,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
23,0.9945245242824698,0.0019139240339030826,0.927868462440706,0.027195821144724724,10p,4,mse,adam,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
24,0.9946581218198878,0.00186700059809624,0.9291866674955401,0.02620545564656942,10p,4,mse,adam,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
25,0.994730993227143,0.0018429350475041115,0.9217822132485085,0.02723890360312904,10p,4,mse,adam,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
26,0.9947411142219313,0.0018300468627064936,0.9122943519879829,0.029586307265155026,10p,4,mse,adam,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
27,0.994619661895006,0.0018859382510708765,0.9208176729644836,0.02805163707461253,10p,4,mse,adam,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
28,0.9947836225363552,0.0018102068064614683,0.919750248383496,0.028416849263759068,10p,4,mse,adam,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
29,0.9948403003213758,0.0017975761599989533,0.9201135585571453,0.027825155933019857,10p,4,mse,adam,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
30,0.9948443486998179,0.0017821107854544584,0.9199013596946598,0.028652112176930644,10p,4,mse,adam,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
31,0.9949293653286657,0.0017625889630204902,0.9273218896130918,0.027237323970489776,10p,4,mse,adam,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
32,0.9949475831888045,0.0017604024341154939,0.9224445309102056,0.02767732597397592,10p,4,mse,adam,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
33,0.9948990022580343,0.0017563801652729226,0.9214832057604607,0.02737434653657584,10p,4,mse,adam,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
34,0.9948888812196905,0.0017595933755022472,0.9210137961555686,0.02818865876404396,10p,4,mse,adam,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
35,0.994896978085041,0.001778069360468336,0.9205733227591972,0.028204869457473802,10p,4,mse,adam,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
36,0.9949577042160482,0.0017298749041105763,0.9205604622220769,0.028375068676497226,10p,4,mse,adam,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
37,0.994971873686645,0.0017369911822304018,0.9196345035494129,0.028018563223739586,10p,4,mse,adam,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
38,0.9950022367470209,0.001718736669064443,0.9217114802943467,0.02805646615299958,10p,4,mse,adam,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
39,0.9924031569721733,0.0027162150296561956,0.9217982889199089,0.028308946562374954,10p,4,mse,adam,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
40,0.9950062851792738,0.0017583646655744457,0.9199528018431411,0.0271556687682485,10p,4,mse,adam,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
41,0.9949779463029912,0.0017329425333827814,0.9210234415584089,0.02863538610235629,10p,4,mse,adam,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
42,0.9951155922410513,0.0017004369181117319,0.9211874134066931,0.029144500199354578,10p,4,mse,adam,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
43,0.9950528418721398,0.0017133380092689279,0.9217950737856289,0.02877110494693854,10p,4,mse,adam,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
44,0.9951419069434959,0.0016933877034408231,0.9214832057604607,0.02800738419793137,10p,4,mse,adam,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
45,0.9951155922299513,0.0016885443623017023,0.9204575779251142,0.02874596526089224,10p,4,mse,adam,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
46,0.9950973743809124,0.0016930777803866408,0.9191425880045602,0.02931723759058937,10p,4,mse,adam,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
47,0.9951196406519488,0.0016850578325389915,0.9174996543874376,0.029328232582835814,10p,4,mse,adam,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
48,0.9950690355046299,0.0016946625847691031,0.9177214986527634,0.028606764372938458,10p,4,mse,adam,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
49,0.9951317858846412,0.0016806987789973994,0.9179433429180891,0.029363277728172963,10p,4,mse,adam,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
50,0.9952107298971428,0.0016704509993089461,0.9180462272150518,0.029235977561235655,10p,4,mse,adam,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
51,0.9952552624170155,0.0016523647811293887,0.9175639570730393,0.029517039127613838,10p,4,mse,adam,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
