epochs,acc,loss,val_acc,val_loss,train_data,features_nb,loss_fct,optimizer,activation_fct,layer_nb,unit_nb,batch_size,dropout,cell_type,encoder
0,0.7669592992858397,0.127050995164628,0.7390082596799655,0.08057703147783722,10p,4,mse,rmsprop,sigmoid,1,4,1024,0.2,CuDNNLSTM,standardscaler
1,0.8751004511792272,0.04697337417074194,0.8623472409325176,0.051863989349019875,10p,4,mse,rmsprop,sigmoid,1,4,1024,0.2,CuDNNLSTM,standardscaler
2,0.9403932221556635,0.026171073117222752,0.8641509312636442,0.04930379953945175,10p,4,mse,rmsprop,sigmoid,1,4,1024,0.2,CuDNNLSTM,standardscaler
3,0.9512429633643751,0.019420041129880838,0.8716036125248771,0.050232553268756565,10p,4,mse,rmsprop,sigmoid,1,4,1024,0.2,CuDNNLSTM,standardscaler
4,0.9608721086824193,0.016568256892614732,0.8722916512608149,0.05086127672363412,10p,4,mse,rmsprop,sigmoid,1,4,1024,0.2,CuDNNLSTM,standardscaler
5,0.9631958965042915,0.015377044748870068,0.8726967581801054,0.05101213231484946,10p,4,mse,rmsprop,sigmoid,1,4,1024,0.2,CuDNNLSTM,standardscaler
6,0.9639023442519965,0.014769260333390748,0.8728414392227092,0.051004284032483756,10p,4,mse,rmsprop,sigmoid,1,4,1024,0.2,CuDNNLSTM,standardscaler
7,0.9643314757857774,0.014440773267584,0.872796427342788,0.05094657934643594,10p,4,mse,rmsprop,sigmoid,1,4,1024,0.2,CuDNNLSTM,standardscaler
8,0.9645500899939093,0.014195614934007346,0.8728221484170287,0.05091990915995793,10p,4,mse,rmsprop,sigmoid,1,4,1024,0.2,CuDNNLSTM,standardscaler
9,0.9646897601707181,0.014008542539215577,0.8729186024454312,0.05084516794100539,10p,4,mse,rmsprop,sigmoid,1,4,1024,0.2,CuDNNLSTM,standardscaler
10,0.9647079779770461,0.013932134094839269,0.8729378932511116,0.05083727856213982,10p,4,mse,rmsprop,sigmoid,1,4,1024,0.2,CuDNNLSTM,standardscaler
11,0.9648456239458724,0.013838092642471423,0.8729539689225121,0.05083386851437625,10p,4,mse,rmsprop,sigmoid,1,4,1024,0.2,CuDNNLSTM,standardscaler
12,0.9648051398590972,0.013810099211175595,0.8729475386539519,0.050853556286786845,10p,4,mse,rmsprop,sigmoid,1,4,1024,0.2,CuDNNLSTM,standardscaler
13,0.9649265921757672,0.01376974716805901,0.872989335399593,0.05082844528240795,10p,4,mse,rmsprop,sigmoid,1,4,1024,0.2,CuDNNLSTM,standardscaler
14,0.9650217298532141,0.013745645679718336,0.8730021959367132,0.050803801942668925,10p,4,mse,rmsprop,sigmoid,1,4,1024,0.2,CuDNNLSTM,standardscaler
15,0.9650662623858759,0.013712937194613441,0.873069713756595,0.05077331779123102,10p,4,mse,rmsprop,sigmoid,1,4,1024,0.2,CuDNNLSTM,standardscaler
16,0.9652464166375152,0.013649497736911778,0.8730954348308357,0.05071199642404294,10p,4,mse,rmsprop,sigmoid,1,4,1024,0.2,CuDNNLSTM,standardscaler
17,0.9651877147008567,0.01363154848695453,0.8731308013079166,0.050698595108033415,10p,4,mse,rmsprop,sigmoid,1,4,1024,0.2,CuDNNLSTM,standardscaler
18,0.9653375058921201,0.01356632434000484,0.8715457401078356,0.050859894056811274,10p,4,mse,rmsprop,sigmoid,1,4,1024,0.2,CuDNNLSTM,standardscaler
19,0.9653820384136819,0.01354001143790362,0.8716068276591572,0.05079794332587285,10p,4,mse,rmsprop,sigmoid,1,4,1024,0.2,CuDNNLSTM,standardscaler
20,0.9654609824150834,0.013465972931412558,0.8708384105662172,0.05109837202186157,10p,4,mse,rmsprop,sigmoid,1,4,1024,0.2,CuDNNLSTM,standardscaler
21,0.9657524680099597,0.0133087736376352,0.870828765163377,0.05127664755478455,10p,4,mse,rmsprop,sigmoid,1,4,1024,0.2,CuDNNLSTM,standardscaler
22,0.9670074753659886,0.01254450669407242,0.8706133511666114,0.05029933680554645,10p,4,mse,rmsprop,sigmoid,1,4,1024,0.2,CuDNNLSTM,standardscaler
23,0.9700215172791866,0.011409097987575254,0.8720505161898087,0.050319860172114025,10p,4,mse,rmsprop,sigmoid,1,4,1024,0.2,CuDNNLSTM,standardscaler
24,0.9707704733063264,0.011218608198530152,0.8620707393844304,0.05431788236527765,10p,4,mse,rmsprop,sigmoid,1,4,1024,0.2,CuDNNLSTM,standardscaler
25,0.9710579104928388,0.01112322241568023,0.8620353729073494,0.052671399814806535,10p,4,mse,rmsprop,sigmoid,1,4,1024,0.2,CuDNNLSTM,standardscaler
26,0.971268427858665,0.011061068012476758,0.873375151513203,0.04962701240097649,10p,4,mse,rmsprop,sigmoid,1,4,1024,0.2,CuDNNLSTM,standardscaler
27,0.9712562826148725,0.011029627727909296,0.862170408547113,0.05399503932890789,10p,4,mse,rmsprop,sigmoid,1,4,1024,0.2,CuDNNLSTM,standardscaler
28,0.9714242916662746,0.0109782489614992,0.865263367724553,0.051516527495582845,10p,4,mse,rmsprop,sigmoid,1,4,1024,0.2,CuDNNLSTM,standardscaler
29,0.9714850178203265,0.010948762932489127,0.8622797231126358,0.05290104375402863,10p,4,mse,rmsprop,sigmoid,1,4,1024,0.2,CuDNNLSTM,standardscaler
30,0.9715255019600679,0.010937361402314513,0.8623118744554367,0.05275050103739344,10p,4,mse,rmsprop,sigmoid,1,4,1024,0.2,CuDNNLSTM,standardscaler
31,0.9714546547693614,0.010918658975340455,0.8734908963472859,0.0498444420457791,10p,4,mse,rmsprop,sigmoid,1,4,1024,0.2,CuDNNLSTM,standardscaler
32,0.971620639628104,0.010877614664507661,0.8623440257982374,0.0529930308257761,10p,4,mse,rmsprop,sigmoid,1,4,1024,0.2,CuDNNLSTM,standardscaler
33,0.9716570752826262,0.01087121759429313,0.865340530947275,0.05190852105899839,10p,4,mse,rmsprop,sigmoid,1,4,1024,0.2,CuDNNLSTM,standardscaler
34,0.9716995835970501,0.010845139564941207,0.8723816750206572,0.050551062952932345,10p,4,mse,rmsprop,sigmoid,1,4,1024,0.2,CuDNNLSTM,standardscaler
35,0.9717846002472532,0.010817892784214059,0.8735841352414083,0.049891727453806656,10p,4,mse,rmsprop,sigmoid,1,4,1024,0.2,CuDNNLSTM,standardscaler
36,0.9718169875241779,0.010817365557671136,0.8724138263634581,0.05021708171953544,10p,4,mse,rmsprop,sigmoid,1,4,1024,0.2,CuDNNLSTM,standardscaler
37,0.9719890450197776,0.010792987291418208,0.8724942047204601,0.05004816641283086,10p,4,mse,rmsprop,sigmoid,1,4,1024,0.2,CuDNNLSTM,standardscaler
38,0.9718493748216135,0.010812416557031454,0.8735841352414083,0.04964244815710327,10p,4,mse,rmsprop,sigmoid,1,4,1024,0.2,CuDNNLSTM,standardscaler
39,0.9719870207929735,0.010789094222291195,0.8724363323034187,0.050196679075401034,10p,4,mse,rmsprop,sigmoid,1,4,1024,0.2,CuDNNLSTM,standardscaler
40,0.9718878347148844,0.010789927132559957,0.8724813441833398,0.050058365582666145,10p,4,mse,rmsprop,sigmoid,1,4,1024,0.2,CuDNNLSTM,standardscaler
41,0.971916173591167,0.010772783147010247,0.8724266869005785,0.05026666937932769,10p,4,mse,rmsprop,sigmoid,1,4,1024,0.2,CuDNNLSTM,standardscaler
42,0.9720011902080702,0.010752463088929047,0.8722884361265348,0.0497914357155589,10p,4,mse,rmsprop,sigmoid,1,4,1024,0.2,CuDNNLSTM,standardscaler
43,0.9720254807170107,0.010746991731474188,0.873455529870205,0.049443784894825045,10p,4,mse,rmsprop,sigmoid,1,4,1024,0.2,CuDNNLSTM,standardscaler
44,0.9720011902200147,0.010743680620538211,0.8722787907236946,0.049807623044472456,10p,4,mse,rmsprop,sigmoid,1,4,1024,0.2,CuDNNLSTM,standardscaler
45,0.97207406163837,0.010709633953973376,0.8733687212446428,0.04899676070768863,10p,4,mse,rmsprop,sigmoid,1,4,1024,0.2,CuDNNLSTM,standardscaler
46,0.9720477469342361,0.010715273761510102,0.8652697979931132,0.05125702724775047,10p,4,mse,rmsprop,sigmoid,1,4,1024,0.2,CuDNNLSTM,standardscaler
47,0.9720902552922154,0.010693213646650358,0.865263367724553,0.0511623241061562,10p,4,mse,rmsprop,sigmoid,1,4,1024,0.2,CuDNNLSTM,standardscaler
48,0.9720497711499403,0.010713330419021772,0.8721630458896116,0.050085375495127565,10p,4,mse,rmsprop,sigmoid,1,4,1024,0.2,CuDNNLSTM,standardscaler
49,0.9719404640779075,0.010730001252132443,0.8652472920531527,0.05190004349590108,10p,4,mse,rmsprop,sigmoid,1,4,1024,0.2,CuDNNLSTM,standardscaler
50,0.9720376259497032,0.010704714037391825,0.8721887669638523,0.05069738919181517,10p,4,mse,rmsprop,sigmoid,1,4,1024,0.2,CuDNNLSTM,standardscaler
51,0.9720457227390428,0.010696821248821422,0.8651733439647107,0.05095507420579317,10p,4,mse,rmsprop,sigmoid,1,4,1024,0.2,CuDNNLSTM,standardscaler
52,0.9721671751001127,0.010674599915617389,0.8722144880380929,0.0496121715024665,10p,4,mse,rmsprop,sigmoid,1,4,1024,0.2,CuDNNLSTM,standardscaler
53,0.9721206183628468,0.01068175273361488,0.8650961807419887,0.051094709338173866,10p,4,mse,rmsprop,sigmoid,1,4,1024,0.2,CuDNNLSTM,standardscaler
54,0.9721347877787881,0.010685000946781988,0.8722530696494539,0.04979590903121498,10p,4,mse,rmsprop,sigmoid,1,4,1024,0.2,CuDNNLSTM,standardscaler
55,0.9720801342214163,0.010691421643907907,0.8731918888592382,0.04947951379000416,10p,4,mse,rmsprop,sigmoid,1,4,1024,0.2,CuDNNLSTM,standardscaler
56,0.9720011902200147,0.010690802417581566,0.8651026110105489,0.05126425059050403,10p,4,mse,rmsprop,sigmoid,1,4,1024,0.2,CuDNNLSTM,standardscaler
