epochs,acc,loss,val_acc,val_loss,train_data,features_nb,loss_fct,optimizer,activation_fct,layer_nb,unit_nb,batch_size,dropout,cell_type,encoder
0,0.874557964153105,0.04539760568206237,0.8709670159374207,0.05018288160661078,494021,4,mse,nadam,sigmoid,2,32,1024,0.2,CuDNNGRU,minmaxscaler11
1,0.9193617275464645,0.029847633360935932,0.8696134444055056,0.05110857172624249,494021,4,mse,nadam,sigmoid,2,32,1024,0.2,CuDNNGRU,minmaxscaler11
2,0.9611271585492963,0.015221721764208768,0.8724877744519,0.050205029231277065,494021,4,mse,nadam,sigmoid,2,32,1024,0.2,CuDNNGRU,minmaxscaler11
3,0.9637768435013845,0.014145178859715689,0.8728864511026303,0.050293388489747376,494021,4,mse,nadam,sigmoid,2,32,1024,0.2,CuDNNGRU,minmaxscaler11
4,0.964720123231094,0.013750337063284022,0.872719264120066,0.049615300185748806,494021,4,mse,nadam,sigmoid,2,32,1024,0.2,CuDNNGRU,minmaxscaler11
5,0.9643031369308502,0.013117938052044009,0.8730247018766739,0.04844777371268859,494021,4,mse,nadam,sigmoid,2,32,1024,0.2,CuDNNGRU,minmaxscaler11
6,0.9629529918632298,0.013498274729067374,0.8731951039935183,0.03943936071776572,494021,4,mse,nadam,sigmoid,2,32,1024,0.2,CuDNNGRU,minmaxscaler11
7,0.9644893638099358,0.012819123540972996,0.8823871728919879,0.03220380312210704,494021,4,mse,nadam,sigmoid,2,32,1024,0.2,CuDNNGRU,minmaxscaler11
8,0.9818246592636732,0.006793235027049451,0.9168855637399418,0.030569748028659978,494021,4,mse,nadam,sigmoid,2,32,1024,0.2,CuDNNGRU,minmaxscaler11
9,0.9798915430925665,0.00743178062753575,0.9167698189058587,0.031154089465533826,494021,4,mse,nadam,sigmoid,2,32,1024,0.2,CuDNNGRU,minmaxscaler11
10,0.9859924983040178,0.005441094442937881,0.9167858945772592,0.031642637946074345,494021,4,mse,nadam,sigmoid,2,32,1024,0.2,CuDNNGRU,minmaxscaler11
11,0.9828914155240678,0.006589695893611034,0.9169048545456223,0.03115972472929695,494021,4,mse,nadam,sigmoid,2,32,1024,0.2,CuDNNGRU,minmaxscaler11
12,0.9866139293443306,0.005195213971900758,0.9154033868368234,0.032636011782478914,494021,4,mse,nadam,sigmoid,2,32,1024,0.2,CuDNNGRU,minmaxscaler11
13,0.9868305193606474,0.00510318781714303,0.9145320854469209,0.03279230888940156,494021,4,mse,nadam,sigmoid,2,32,1024,0.2,CuDNNGRU,minmaxscaler11
14,0.9482410666838695,0.019339586321646195,0.8732433310077196,0.0501405968290696,494021,4,mse,nadam,sigmoid,2,32,1024,0.2,CuDNNGRU,minmaxscaler11
15,0.9708231026368941,0.011178216652660966,0.8760951551141534,0.048637635359087786,494021,4,mse,nadam,sigmoid,2,32,1024,0.2,CuDNNGRU,minmaxscaler11
16,0.972788606139581,0.01035163157671912,0.876931090026975,0.04468470288139481,494021,4,mse,nadam,sigmoid,2,32,1024,0.2,CuDNNGRU,minmaxscaler11
17,0.9825371795705354,0.006416566030716979,0.917165280422309,0.031092046037553285,494021,4,mse,nadam,sigmoid,2,32,1024,0.2,CuDNNGRU,minmaxscaler11
18,0.987039012489414,0.004931257190843064,0.917435351701836,0.030514107567193565,494021,4,mse,nadam,sigmoid,2,32,1024,0.2,CuDNNGRU,minmaxscaler11
19,0.98768878244872,0.004669167091257863,0.9146156789382031,0.03177713990608727,494021,4,mse,nadam,sigmoid,2,32,1024,0.2,CuDNNGRU,minmaxscaler11
20,0.9880915993552225,0.0045159323168702395,0.9144838584327196,0.03118048159785636,494021,4,mse,nadam,sigmoid,2,32,1024,0.2,CuDNNGRU,minmaxscaler11
21,0.9884458353190103,0.004410651621060082,0.9175253754616783,0.031218621825376977,494021,4,mse,nadam,sigmoid,2,32,1024,0.2,CuDNNGRU,minmaxscaler11
22,0.9886077717121999,0.004337721975778286,0.9175800327444398,0.031228854344032986,494021,4,mse,nadam,sigmoid,2,32,1024,0.2,CuDNNGRU,minmaxscaler11
23,0.9887393450766245,0.004292995192173224,0.9176379051614812,0.031082419237949615,494021,4,mse,nadam,sigmoid,2,32,1024,0.2,CuDNNGRU,minmaxscaler11
24,0.9887717323638047,0.004282467540123227,0.9175253754616783,0.03144991790161571,494021,4,mse,nadam,sigmoid,2,32,1024,0.2,CuDNNGRU,minmaxscaler11
25,0.9887960228180898,0.0042454421250871805,0.9176764867728422,0.031068792449729446,494021,4,mse,nadam,sigmoid,2,32,1024,0.2,CuDNNGRU,minmaxscaler11
26,0.9888203133056748,0.004223608035780828,0.9170398901853858,0.030946405503855894,494021,4,mse,nadam,sigmoid,2,32,1024,0.2,CuDNNGRU,minmaxscaler11
27,0.9887049336061957,0.004267775197030369,0.9154709046567051,0.031674101676702655,494021,4,mse,nadam,sigmoid,2,32,1024,0.2,CuDNNGRU,minmaxscaler11
28,0.9889498624432952,0.004173406941446295,0.9181266055720538,0.030755790270170245,494021,4,mse,nadam,sigmoid,2,32,1024,0.2,CuDNNGRU,minmaxscaler11
29,0.9889478382600464,0.00414754683825796,0.9186024454455062,0.03050496995716751,494021,4,mse,nadam,sigmoid,2,32,1024,0.2,CuDNNGRU,minmaxscaler11
30,0.9889316445831564,0.004114681293662203,0.9193097749871245,0.030663757272252373,494021,4,mse,nadam,sigmoid,2,32,1024,0.2,CuDNNGRU,minmaxscaler11
31,0.989004516022867,0.0040899498558004035,0.9188918075307136,0.030376627342588062,494021,4,mse,nadam,sigmoid,2,32,1024,0.2,CuDNNGRU,minmaxscaler11
32,0.9890389275052405,0.004048875054947406,0.9183709557773402,0.030455979130194724,494021,4,mse,nadam,sigmoid,2,32,1024,0.2,CuDNNGRU,minmaxscaler11
