epochs,acc,loss,val_acc,val_loss,train_data,features_nb,loss_fct,optimizer,activation_fct,layer_nb,unit_nb,batch_size,dropout,cell_type,encoder
0,0.9446177389225122,0.021016412773420146,0.8728221484170287,0.04781750981089497,494021,4,mse,nadam,tanh,2,256,128,0.5,CuDNNGRU,minmaxscaler11
1,0.9736893775780318,0.010526415451391954,0.8748380376106408,0.04596636915061198,494021,4,mse,nadam,tanh,2,256,128,0.5,CuDNNGRU,minmaxscaler11
2,0.9814603022953243,0.0075828457455383415,0.914561021646818,0.02845346573229172,494021,4,mse,nadam,tanh,2,256,128,0.5,CuDNNGRU,minmaxscaler11
3,0.9838023079990527,0.006407268331952299,0.915953174790094,0.026925580835990757,494021,4,mse,nadam,tanh,2,256,128,0.5,CuDNNGRU,minmaxscaler11
4,0.9874438536018477,0.004902302395363056,0.9175928932729364,0.027843541835352353,494021,4,mse,nadam,tanh,2,256,128,0.5,CuDNNGRU,minmaxscaler11
5,0.9897838351001274,0.003764408540096829,0.9199013596860361,0.02852467902960165,494021,4,mse,nadam,tanh,2,256,128,0.5,CuDNNGRU,minmaxscaler11
6,0.98901868544098,0.003958894196017746,0.9208723302386213,0.02831668874420825,494021,4,mse,nadam,tanh,2,256,128,0.5,CuDNNGRU,minmaxscaler11
7,0.9906461466212975,0.0034197122636936824,0.9214767754832769,0.027602418358958217,494021,4,mse,nadam,tanh,2,256,128,0.5,CuDNNGRU,minmaxscaler11
8,0.9893769698054099,0.0039182037971675675,0.9143166714415316,0.028683510824998534,494021,4,mse,nadam,tanh,2,256,128,0.5,CuDNNGRU,minmaxscaler11
9,0.990049006014397,0.0035854121667666743,0.9208948361785819,0.02858308190547247,494021,4,mse,nadam,tanh,2,256,128,0.5,CuDNNGRU,minmaxscaler11
10,0.9906076867177711,0.0034062831575865774,0.9185735092283618,0.0298758558268854,494021,4,mse,nadam,tanh,2,256,128,0.5,CuDNNGRU,minmaxscaler11
11,0.9885429971600398,0.0038842540955657478,0.9177761559269012,0.028941884007476642,494021,4,mse,nadam,tanh,2,256,128,0.5,CuDNNGRU,minmaxscaler11
12,0.9912392388177831,0.0031760196560242696,0.9197823997176731,0.029366739258298573,494021,4,mse,nadam,tanh,2,256,128,0.5,CuDNNGRU,minmaxscaler11
13,0.9916238378530468,0.0030787013720861094,0.9210234415497852,0.028902680838244547,494021,4,mse,nadam,tanh,2,256,128,0.5,CuDNNGRU,minmaxscaler11
14,0.9915287001979204,0.003049666536548306,0.9202485941882852,0.029548188151224813,494021,4,mse,nadam,tanh,2,256,128,0.5,CuDNNGRU,minmaxscaler11
15,0.9915691843059303,0.003025057970212582,0.9201617855627229,0.029725445985323735,494021,4,mse,nadam,tanh,2,256,128,0.5,CuDNNGRU,minmaxscaler11
