epochs,acc,loss,val_acc,val_loss,train_data,features_nb,loss_fct,optimizer,activation_fct,layer_nb,unit_nb,batch_size,dropout,cell_type,encoder
0,0.8705297953100801,0.048899760320502444,0.8717257876275203,0.05248513466554993,494021,4,mse,nadam,tanh,1,32,1024,0.2,CuDNNGRU,minmaxscaler11
1,0.9598316670509923,0.018732034100781954,0.8718222416559228,0.051361016092486715,494021,4,mse,nadam,tanh,1,32,1024,0.2,CuDNNGRU,minmaxscaler11
2,0.9610036820382776,0.015854099816640523,0.8710634699658231,0.04885722928024659,494021,4,mse,nadam,tanh,1,32,1024,0.2,CuDNNGRU,minmaxscaler11
3,0.9620643656797921,0.013776912189327648,0.8727449851943067,0.051532034072283774,494021,4,mse,nadam,tanh,1,32,1024,0.2,CuDNNGRU,minmaxscaler11
4,0.9635076241783891,0.01289994878709244,0.8728446543569892,0.046953442975478626,494021,4,mse,nadam,tanh,1,32,1024,0.2,CuDNNGRU,minmaxscaler11
5,0.9631614850244518,0.012954875522962142,0.8729636143253523,0.045934824411429945,494021,4,mse,nadam,tanh,1,32,1024,0.2,CuDNNGRU,minmaxscaler11
6,0.9655540958537816,0.011429745520144852,0.8730793591594352,0.046233185160029715,494021,4,mse,nadam,tanh,1,32,1024,0.2,CuDNNGRU,minmaxscaler11
7,0.9659953726638104,0.010997156413649992,0.8733108488276012,0.04613042563749324,494021,4,mse,nadam,tanh,1,32,1024,0.2,CuDNNGRU,minmaxscaler11
8,0.9661937447747441,0.010991366051695328,0.8731886737249581,0.04613028744694839,494021,4,mse,nadam,tanh,1,32,1024,0.2,CuDNNGRU,minmaxscaler11
9,0.9652524892530169,0.01189610126356882,0.8699092367592732,0.04718047708778951,494021,4,mse,nadam,tanh,1,32,1024,0.2,CuDNNGRU,minmaxscaler11
10,0.9663617538730799,0.010581708421549029,0.8708062592234165,0.04783617224339966,494021,4,mse,nadam,tanh,1,32,1024,0.2,CuDNNGRU,minmaxscaler11
11,0.966798982237222,0.01013054193018635,0.8707933986862961,0.04782424942471275,494021,4,mse,nadam,tanh,1,32,1024,0.2,CuDNNGRU,minmaxscaler11
12,0.966875902057064,0.01000278629263705,0.8708384105662172,0.04763381725417679,494021,4,mse,nadam,tanh,1,32,1024,0.2,CuDNNGRU,minmaxscaler11
13,0.9658739203240959,0.011307456064191661,0.8706551479122525,0.04679935788712661,494021,4,mse,nadam,tanh,1,32,1024,0.2,CuDNNGRU,minmaxscaler11
14,0.9669568702622251,0.009889676733769656,0.8707451716720949,0.048245395749263204,494021,4,mse,nadam,tanh,1,32,1024,0.2,CuDNNGRU,minmaxscaler11
15,0.9670560563189587,0.009783146547081997,0.8708062592234165,0.048212063271223175,494021,4,mse,nadam,tanh,1,32,1024,0.2,CuDNNGRU,minmaxscaler11
16,0.9670924920042472,0.009734529924039316,0.8708126894919767,0.04777155836528383,494021,4,mse,nadam,tanh,1,32,1024,0.2,CuDNNGRU,minmaxscaler11
17,0.9671552423637478,0.009677674508111666,0.8707805381491758,0.04772817947462754,494021,4,mse,nadam,tanh,1,32,1024,0.2,CuDNNGRU,minmaxscaler11
18,0.9672058475443667,0.009636833250826786,0.870902713251819,0.04882630896957743,494021,4,mse,nadam,tanh,1,32,1024,0.2,CuDNNGRU,minmaxscaler11
19,0.9673293240331854,0.00957309759856022,0.8709670159374207,0.04796661714560683,494021,4,mse,nadam,tanh,1,32,1024,0.2,CuDNNGRU,minmaxscaler11
20,0.9666147795200298,0.010470464693682093,0.8708898527146987,0.04721090497738478,494021,4,mse,nadam,tanh,1,32,1024,0.2,CuDNNGRU,minmaxscaler11
21,0.9674912604690858,0.009425112786446059,0.8710088126830617,0.04780299007224562,494021,4,mse,nadam,tanh,1,32,1024,0.2,CuDNNGRU,minmaxscaler11
22,0.9677685766155655,0.009307223589593343,0.8710827607715036,0.04764816375723119,494021,4,mse,nadam,tanh,1,32,1024,0.2,CuDNNGRU,minmaxscaler11
23,0.9687887761839387,0.00910670893327225,0.8736934498069312,0.04664444703370534,494021,4,mse,nadam,tanh,1,32,1024,0.2,CuDNNGRU,minmaxscaler11
24,0.9732723912520891,0.008010582126849825,0.8738317005809748,0.046379725404474166,494021,4,mse,nadam,tanh,1,32,1024,0.2,CuDNNGRU,minmaxscaler11
25,0.9734748117986538,0.00782408862042319,0.873841345983815,0.04647459062841802,494021,4,mse,nadam,tanh,1,32,1024,0.2,CuDNNGRU,minmaxscaler11
26,0.97356387683671,0.0077515797859046805,0.8738317005809748,0.04626665822835782,494021,4,mse,nadam,tanh,1,32,1024,0.2,CuDNNGRU,minmaxscaler11
27,0.9736468692506981,0.0077029836333857675,0.8738831427294561,0.04617107362042815,494021,4,mse,nadam,tanh,1,32,1024,0.2,CuDNNGRU,minmaxscaler11
28,0.973108430590229,0.009011382202084839,0.8737802584324934,0.04507991460071672,494021,4,mse,nadam,tanh,1,32,1024,0.2,CuDNNGRU,minmaxscaler11
29,0.9735578042212083,0.007881976659876484,0.8736934498069312,0.04533533908709211,494021,4,mse,nadam,tanh,1,32,1024,0.2,CuDNNGRU,minmaxscaler11
