epochs,acc,loss,val_acc,val_loss,train_data,features_nb,loss_fct,optimizer,activation_fct,layer_nb,unit_nb,batch_size,dropout,cell_type,encoder
0,0.8392639179477469,0.0571445674062597,0.870323989081404,0.0532846094600508,494021,4,mse,adam,tanh,2,32,1024,0.2,CuDNNGRU,minmaxscaler11
1,0.9584329411286125,0.019277496424500547,0.8703529252899247,0.04913796292071674,494021,4,mse,adam,tanh,2,32,1024,0.2,CuDNNGRU,minmaxscaler11
2,0.9620522204709887,0.014509984367286326,0.8727803516713876,0.04876673487364611,494021,4,mse,adam,tanh,2,32,1024,0.2,CuDNNGRU,minmaxscaler11
3,0.9649346890197622,0.013198073443190319,0.8728896662369103,0.04854829612742929,494021,4,mse,adam,tanh,2,32,1024,0.2,CuDNNGRU,minmaxscaler11
4,0.965626967251626,0.012498765949035045,0.8732304704705992,0.046861038279480724,494021,4,mse,adam,tanh,2,32,1024,0.2,CuDNNGRU,minmaxscaler11
5,0.966035856783041,0.011707433752092133,0.8716807757475991,0.04721810744171124,494021,4,mse,adam,tanh,2,32,1024,0.2,CuDNNGRU,minmaxscaler11
6,0.9662200594566779,0.010994085521962703,0.870709805195014,0.04662410859644199,494021,4,mse,adam,tanh,2,32,1024,0.2,CuDNNGRU,minmaxscaler11
7,0.9663455601961899,0.010565741060168495,0.8706776538522132,0.0472575058142477,494021,4,mse,adam,tanh,2,32,1024,0.2,CuDNNGRU,minmaxscaler11
8,0.9663981895472684,0.01029001016904467,0.870632641972292,0.04720633073399564,494021,4,mse,adam,tanh,2,32,1024,0.2,CuDNNGRU,minmaxscaler11
9,0.9664832061778053,0.010128676605554991,0.8706262117037318,0.047960766124732296,494021,4,mse,adam,tanh,2,32,1024,0.2,CuDNNGRU,minmaxscaler11
10,0.9664913029876557,0.009979806578063778,0.8706262117037318,0.04799445474503551,494021,4,mse,adam,tanh,2,32,1024,0.2,CuDNNGRU,minmaxscaler11
11,0.9665682228049639,0.00983934479272687,0.8706165663008916,0.04812970904623276,494021,4,mse,adam,tanh,2,32,1024,0.2,CuDNNGRU,minmaxscaler11
12,0.9666512152070075,0.009728797554671037,0.8706808689864932,0.048374817098338,494021,4,mse,adam,tanh,2,32,1024,0.2,CuDNNGRU,minmaxscaler11
13,0.9666390699965149,0.009648068418675007,0.8706165663008916,0.04817666689712727,494021,4,mse,adam,tanh,2,32,1024,0.2,CuDNNGRU,minmaxscaler11
14,0.9667159897933122,0.009585375311742424,0.8706262117037318,0.04890538855960902,494021,4,mse,adam,tanh,2,32,1024,0.2,CuDNNGRU,minmaxscaler11
15,0.9666755056843371,0.009528076947968069,0.8706262117037318,0.048786587555447326,494021,4,mse,adam,tanh,2,32,1024,0.2,CuDNNGRU,minmaxscaler11
16,0.966738256041304,0.009453099688938213,0.8706229965694517,0.04925912061025551,494021,4,mse,adam,tanh,2,32,1024,0.2,CuDNNGRU,minmaxscaler11
17,0.966746352907499,0.009440352161771356,0.8706197814351716,0.049231007053359546,494021,4,mse,adam,tanh,2,32,1024,0.2,CuDNNGRU,minmaxscaler11
18,0.9667342076534511,0.009410063513568807,0.8705458333467297,0.048790451975644,494021,4,mse,adam,tanh,2,32,1024,0.2,CuDNNGRU,minmaxscaler11
19,0.9667078929706726,0.009396476699903454,0.8705747695552505,0.049799848519144874,494021,4,mse,adam,tanh,2,32,1024,0.2,CuDNNGRU,minmaxscaler11
20,0.9667807643881833,0.009360481877614091,0.8706197814351716,0.04922341423858408,494021,4,mse,adam,tanh,2,32,1024,0.2,CuDNNGRU,minmaxscaler11
21,0.9669487734088192,0.009329621214675989,0.8706776538522132,0.04913367169920908,494021,4,mse,adam,tanh,2,32,1024,0.2,CuDNNGRU,minmaxscaler11
22,0.9770920669458366,0.008366582414936161,0.9149082561576906,0.030797923630678,494021,4,mse,adam,tanh,2,32,1024,0.2,CuDNNGRU,minmaxscaler11
23,0.9859945225214111,0.0057022069715764595,0.9141494844675909,0.03178742674699331,494021,4,mse,adam,tanh,2,32,1024,0.2,CuDNNGRU,minmaxscaler11
24,0.986360903663236,0.005466240014000505,0.9141301936619105,0.031812603513585135,494021,4,mse,adam,tanh,2,32,1024,0.2,CuDNNGRU,minmaxscaler11
25,0.9865430821647241,0.0053663568033096125,0.9141398390647507,0.03286933722518591,494021,4,mse,adam,tanh,2,32,1024,0.2,CuDNNGRU,minmaxscaler11
26,0.9865572516139653,0.005299695477592884,0.9141784206761117,0.031584950702538105,494021,4,mse,adam,tanh,2,32,1024,0.2,CuDNNGRU,minmaxscaler11
27,0.9866503650757081,0.005236785959499015,0.9142555838988337,0.032334981448945865,494021,4,mse,adam,tanh,2,32,1024,0.2,CuDNNGRU,minmaxscaler11
28,0.9866361956367222,0.005208679930734402,0.914268444435954,0.031176247149754036,494021,4,mse,adam,tanh,2,32,1024,0.2,CuDNNGRU,minmaxscaler11
29,0.9866544134644056,0.005156626570407996,0.9141494844675909,0.03338760141815916,494021,4,mse,adam,tanh,2,32,1024,0.2,CuDNNGRU,minmaxscaler11
30,0.9866463166759106,0.005156505667015722,0.9142620141673938,0.031566377535357674,494021,4,mse,adam,tanh,2,32,1024,0.2,CuDNNGRU,minmaxscaler11
31,0.9758431321711649,0.00846041021002286,0.8706390722408521,0.04622969112198722,494021,4,mse,adam,tanh,2,32,1024,0.2,CuDNNGRU,minmaxscaler11
32,0.9759058825306655,0.008048240846777178,0.9142330779588731,0.031991290801398856,494021,4,mse,adam,tanh,2,32,1024,0.2,CuDNNGRU,minmaxscaler11
33,0.9866301230101205,0.005100862290539073,0.9141462693333109,0.031579185932868944,494021,4,mse,adam,tanh,2,32,1024,0.2,CuDNNGRU,minmaxscaler11
34,0.9867293090882095,0.005043312882797734,0.9142330779588731,0.03196243923882021,494021,4,mse,adam,tanh,2,32,1024,0.2,CuDNNGRU,minmaxscaler11
35,0.986751575359246,0.005022196266525342,0.9142813049730744,0.03178629732324177,494021,4,mse,adam,tanh,2,32,1024,0.2,CuDNNGRU,minmaxscaler11
36,0.9862758870565882,0.005190818619102566,0.9141076877219498,0.032141656230988254,494021,4,mse,adam,tanh,2,32,1024,0.2,CuDNNGRU,minmaxscaler11
37,0.9868467130033929,0.0049341450871474395,0.9141591298704312,0.03167559812442135,494021,4,mse,adam,tanh,2,32,1024,0.2,CuDNNGRU,minmaxscaler11
38,0.9865673726181645,0.005013871666176208,0.9141816358103918,0.03141256258965732,494021,4,mse,adam,tanh,2,32,1024,0.2,CuDNNGRU,minmaxscaler11
39,0.986941850627029,0.004886820168219852,0.9141462693333109,0.031784696700063134,494021,4,mse,adam,tanh,2,32,1024,0.2,CuDNNGRU,minmaxscaler11
40,0.9868871971243126,0.004897206475654819,0.9142877352416345,0.030965789920860687,494021,4,mse,adam,tanh,2,32,1024,0.2,CuDNNGRU,minmaxscaler11
41,0.9869013665616093,0.004861394931601304,0.9142459384959934,0.031943226542211156,494021,4,mse,adam,tanh,2,32,1024,0.2,CuDNNGRU,minmaxscaler11
