epochs,acc,loss,val_acc,val_loss,train_data,features_nb,loss_fct,optimizer,activation_fct,layer_nb,unit_nb,batch_size,dropout,cell_type,encoder
0,0.7293030053422939,0.09284470233115955,0.7390082596799655,0.08336145381866411,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNGRU,minmaxscaler11
1,0.7923914165773129,0.06857699209680142,0.7390082596799655,0.08320727879725363,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNGRU,minmaxscaler11
2,0.8107448873358204,0.06108018827436822,0.8638165572985156,0.05341179041919994,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNGRU,minmaxscaler11
3,0.9325028692848009,0.02903404512571224,0.8622443566355549,0.05149672213085902,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNGRU,minmaxscaler11
4,0.93902890766438,0.02520803847970895,0.866346867976941,0.050961026585970695,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNGRU,minmaxscaler11
5,0.9485568426988864,0.021580622309004458,0.8691697558748541,0.048516640257712206,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNGRU,minmaxscaler11
6,0.9519413142100515,0.01956705861810235,0.8723559539464165,0.046744220617845576,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNGRU,minmaxscaler11
7,0.9543582155380663,0.018124324458731814,0.8728092878799083,0.04620717962902301,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNGRU,minmaxscaler11
8,0.9554371170414089,0.017193693527878598,0.8729314629825514,0.04604630269388627,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNGRU,minmaxscaler11
9,0.956056523922362,0.016381094399168926,0.8712531628883481,0.04581799774443978,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNGRU,minmaxscaler11
10,0.956665809750493,0.015776282950825796,0.8732079645306386,0.04566373267724041,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNGRU,minmaxscaler11
11,0.9572447324857928,0.015275587738713556,0.8730986499651158,0.04547756284179152,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNGRU,minmaxscaler11
12,0.9577629291131298,0.01490462559384619,0.8724556231090992,0.045662466792003246,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNGRU,minmaxscaler11
13,0.958226472129284,0.014646006125436515,0.8732497612762797,0.04556672134263532,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNGRU,minmaxscaler11
14,0.9585240303524513,0.014467153107065589,0.8733172790961614,0.045898476385649686,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNGRU,minmaxscaler11
15,0.9592405991018218,0.014241973455302183,0.8732754823505203,0.04598740512837083,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNGRU,minmaxscaler11
16,0.959621149727877,0.014096551997908446,0.8732433310077196,0.04597935523061064,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNGRU,minmaxscaler11
17,0.9600968379630903,0.013951375974474933,0.8733494304389623,0.046088794798368075,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNGRU,minmaxscaler11
18,0.9601636367539992,0.013799295435829875,0.873301203424761,0.04640156847104912,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNGRU,minmaxscaler11
19,0.9601778062143405,0.013768684883850354,0.873375151513203,0.04645739468366928,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNGRU,minmaxscaler11
20,0.9621676001704679,0.013257138281376979,0.875464988795257,0.045645980767520064,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNGRU,minmaxscaler11
21,0.9639752156045963,0.01263050765826787,0.8752688656041719,0.04599819582900166,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNGRU,minmaxscaler11
22,0.9641735877385744,0.012483632189576214,0.875538936883699,0.046154618858037774,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNGRU,minmaxscaler11
23,0.9645804530653853,0.012386313662408948,0.8753910407068152,0.04618524639185561,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNGRU,minmaxscaler11
24,0.9652120051764972,0.012247678264952171,0.8756128849721408,0.046181731454308005,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNGRU,minmaxscaler11
25,0.9635845439948526,0.01277263432963753,0.8739795967578586,0.04591454713200478,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNGRU,minmaxscaler11
26,0.9643982745647418,0.012382385042004517,0.8756386060463816,0.04600291333276268,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNGRU,minmaxscaler11
27,0.965388111050539,0.01214196161606567,0.8756289606435412,0.04644182216798159,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNGRU,minmaxscaler11
28,0.9657382985709738,0.012131238715114042,0.8757575660147446,0.046288739390514186,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNGRU,minmaxscaler11
29,0.9659528643493865,0.012049639749928094,0.8744843728398316,0.04628243506974922,494021,4,mse,nadam,tanh,2,4,1024,0.2,CuDNNGRU,minmaxscaler11
