epochs,acc,loss,val_acc,val_loss,train_data,features_nb,loss_fct,optimizer,activation_fct,layer_nb,unit_nb,batch_size,dropout,cell_type,encoder
0,0.9566759307666368,0.016549866564660176,0.9055747212872259,0.0358441849393603,494021,4,mse,nadam,sigmoid,2,128,1024,0.2,CuDNNLSTM,standarscaler
1,0.9793531044320973,0.007759714948401544,0.9078864028346058,0.03523730014728431,494021,4,mse,nadam,sigmoid,2,128,1024,0.2,CuDNNLSTM,standarscaler
2,0.9770799216798441,0.0087692386299724,0.9076806342406805,0.03532693710911591,494021,4,mse,nadam,sigmoid,2,128,1024,0.2,CuDNNLSTM,standarscaler
3,0.980523095149023,0.007467256806383017,0.9081854103226535,0.035855301882541435,494021,4,mse,nadam,sigmoid,2,128,1024,0.2,CuDNNLSTM,standarscaler
4,0.9801101572366322,0.0076680781838009615,0.9076324072264792,0.035641384123237134,494021,4,mse,nadam,sigmoid,2,128,1024,0.2,CuDNNLSTM,standarscaler
5,0.9773430684325825,0.008638992224881889,0.908088956294251,0.035790522927031394,494021,4,mse,nadam,sigmoid,2,128,1024,0.2,CuDNNLSTM,standarscaler
6,0.9796628078435571,0.007936305477032224,0.9075134472581161,0.036208940068268025,494021,4,mse,nadam,sigmoid,2,128,1024,0.2,CuDNNLSTM,standarscaler
7,0.9796283963509282,0.007799632715868134,0.9077256461206016,0.03644908993254918,494021,4,mse,nadam,sigmoid,2,128,1024,0.2,CuDNNLSTM,standarscaler
8,0.9841302292920066,0.0061062227332011705,0.9100887698164628,0.034307371632240936,494021,4,mse,nadam,sigmoid,2,128,1024,0.2,CuDNNLSTM,standarscaler
9,0.9866807281685395,0.005037964820900923,0.9195123283913866,0.031723284556138855,494021,4,mse,nadam,sigmoid,2,128,1024,0.2,CuDNNLSTM,standarscaler
10,0.9858548523454469,0.005431074644522069,0.9106224821069566,0.03528199283887069,494021,4,mse,nadam,sigmoid,2,128,1024,0.2,CuDNNLSTM,standarscaler
11,0.9881826885671166,0.004543511502151808,0.9194126592287041,0.03135582774514495,494021,4,mse,nadam,sigmoid,2,128,1024,0.2,CuDNNLSTM,standarscaler
12,0.9917513628176738,0.0030818008090949854,0.9194801770485859,0.031185025259389047,494021,4,mse,nadam,sigmoid,2,128,1024,0.2,CuDNNLSTM,standarscaler
13,0.9867778899967797,0.005118357059172652,0.9188660864010899,0.03017740641268796,494021,4,mse,nadam,sigmoid,2,128,1024,0.2,CuDNNLSTM,standarscaler
14,0.9919234202483627,0.0030642736511220757,0.918981831235173,0.031886538019601667,494021,4,mse,nadam,sigmoid,2,128,1024,0.2,CuDNNLSTM,standarscaler
15,0.9920529694073384,0.003042412453763823,0.918827504789729,0.030369114865973545,494021,4,mse,nadam,sigmoid,2,128,1024,0.2,CuDNNLSTM,standarscaler
16,0.9918687667226017,0.003079814403895236,0.918441688676119,0.032106206573788466,494021,4,mse,nadam,sigmoid,2,128,1024,0.2,CuDNNLSTM,standarscaler
17,0.9910388424561563,0.0033672865179574323,0.918673178344285,0.03190655338680742,494021,4,mse,nadam,sigmoid,2,128,1024,0.2,CuDNNLSTM,standarscaler
18,0.9924861493742169,0.0027442742942705516,0.9194255197658244,0.030369179854899078,494021,4,mse,nadam,sigmoid,2,128,1024,0.2,CuDNNLSTM,standarscaler
19,0.9935427845962677,0.002384215379749014,0.9212163495598308,0.0306089814405145,494021,4,mse,nadam,sigmoid,2,128,1024,0.2,CuDNNLSTM,standarscaler
20,0.9936601885344954,0.002306764890617187,0.9192358268432995,0.03027656413360128,494021,4,mse,nadam,sigmoid,2,128,1024,0.2,CuDNNLSTM,standarscaler
