epochs,acc,loss,val_acc,val_loss,train_data,features_nb,loss_fct,optimizer,activation_fct,layer_nb,unit_nb,batch_size,dropout,cell_type,encoder
0,0.982280105501588,0.007090065889400293,0.9183195136200436,0.031430958914300214,494021,4,mse,nadam,tanh,2,32,128,0.2,CuDNNLSTM,standarscaler
1,0.9903364431876378,0.0036176898508580692,0.9206086892274629,0.03127601404769517,494021,4,mse,nadam,tanh,2,32,128,0.2,CuDNNLSTM,standarscaler
2,0.9909254869737084,0.0033523246730841963,0.9191618788014254,0.031360115253883374,494021,4,mse,nadam,tanh,2,32,128,0.2,CuDNNLSTM,standarscaler
3,0.9928241916841591,0.002580117273424522,0.9180076455948755,0.03135141140440332,494021,4,mse,nadam,tanh,2,32,128,0.2,CuDNNLSTM,standarscaler
4,0.9934800342500388,0.0022287663962192302,0.920727649195826,0.030340803763014495,494021,4,mse,nadam,tanh,2,32,128,0.2,CuDNNLSTM,standarscaler
5,0.9940063276662328,0.0020372878155871603,0.9216921894798509,0.03005815339980536,494021,4,mse,nadam,tanh,2,32,128,0.2,CuDNNLSTM,standarscaler
6,0.9946601460271463,0.0017961640095634844,0.9194737468265934,0.03155766490521828,494021,4,mse,nadam,tanh,2,32,128,0.2,CuDNNLSTM,standarscaler
7,0.9946581218207323,0.0017745166551031658,0.9195509100493154,0.03148519336159113,494021,4,mse,nadam,tanh,2,32,128,0.2,CuDNNLSTM,standarscaler
8,0.9955022154933463,0.001514170977791335,0.922238762307465,0.029953725658324607,494021,4,mse,nadam,tanh,2,32,128,0.2,CuDNNLSTM,standarscaler
9,0.9957026118322906,0.001457755946873364,0.9245247227806042,0.02974782397398217,494021,4,mse,nadam,tanh,2,32,128,0.2,CuDNNLSTM,standarscaler
10,0.9959353954588975,0.0013535626213098232,0.9201006980112096,0.03115847539169957,494021,4,mse,nadam,tanh,2,32,128,0.2,CuDNNLSTM,standarscaler
11,0.9959718311569751,0.0013534137580399664,0.9237788116276249,0.029719664256021766,494021,4,mse,nadam,tanh,2,32,128,0.2,CuDNNLSTM,standarscaler
12,0.9960629204021691,0.0013294626931574308,0.923511955482378,0.02956107226392593,494021,4,mse,nadam,tanh,2,32,128,0.2,CuDNNLSTM,standarscaler
13,0.995977903773804,0.0013487544734064774,0.9246018860033262,0.02928549313873811,494021,4,mse,nadam,tanh,2,32,128,0.2,CuDNNLSTM,standarscaler
14,0.9961256707720458,0.0013005665584807954,0.9240263769671913,0.029006116940484966,494021,4,mse,nadam,tanh,2,32,128,0.2,CuDNNLSTM,standarscaler
15,0.9979170925932298,0.0007365006170672936,0.926370209857372,0.029305212317257124,494021,4,mse,nadam,tanh,2,32,128,0.2,CuDNNLSTM,standarscaler
16,0.9976640669121353,0.0008198734057252476,0.9268974918793056,0.028620412723094683,494021,4,mse,nadam,tanh,2,32,128,0.2,CuDNNLSTM,standarscaler
17,0.998522330022408,0.000533657152720397,0.926836404327984,0.028866409975253277,494021,4,mse,nadam,tanh,2,32,128,0.2,CuDNNLSTM,standarscaler
18,0.998597225624012,0.0005142620034801038,0.9266177751969383,0.028619235325872194,494021,4,mse,nadam,tanh,2,32,128,0.2,CuDNNLSTM,standarscaler
19,0.9970952651810349,0.0009836195198931745,0.924669403823208,0.028990363048354683,494021,4,mse,nadam,tanh,2,32,128,0.2,CuDNNLSTM,standarscaler
20,0.9964738341082666,0.0011614042726809475,0.9262062380090876,0.028358775069393678,494021,4,mse,nadam,tanh,2,32,128,0.2,CuDNNLSTM,standarscaler
21,0.9985952014185632,0.0005178919167027479,0.9262448196204487,0.028864316001270443,494021,4,mse,nadam,tanh,2,32,128,0.2,CuDNNLSTM,standarscaler
22,0.998643782349816,0.0004891848914712306,0.9269585794306272,0.028517844508454588,494021,4,mse,nadam,tanh,2,32,128,0.2,CuDNNLSTM,standarscaler
23,0.9981822635070169,0.0006365648550771979,0.9263927157973325,0.029126505471244662,494021,4,mse,nadam,tanh,2,32,128,0.2,CuDNNLSTM,standarscaler
24,0.998696411691001,0.0004659137327490405,0.9268428345965442,0.02849213912380409,494021,4,mse,nadam,tanh,2,32,128,0.2,CuDNNLSTM,standarscaler
25,0.9983543209706438,0.0005866216704141557,0.9293377787978887,0.02833928411119125,494021,4,mse,nadam,tanh,2,32,128,0.2,CuDNNLSTM,standarscaler
26,0.9987753557039851,0.0004395124421979223,0.9266145600626583,0.028504968216532065,494021,4,mse,nadam,tanh,2,32,128,0.2,CuDNNLSTM,standarscaler
27,0.9988542997160039,0.0004088973183110044,0.9320577823988391,0.02707867106979565,494021,4,mse,nadam,tanh,2,32,128,0.2,CuDNNLSTM,standarscaler
28,0.9987308231836298,0.0004541245669785053,0.9262866163660898,0.02837634717951361,494021,4,mse,nadam,tanh,2,32,128,0.2,CuDNNLSTM,standarscaler
29,0.9987834525252975,0.0004399908802087199,0.92629626176893,0.029131120341224885,494021,4,mse,nadam,tanh,2,32,128,0.2,CuDNNLSTM,standarscaler
30,0.9988502513051065,0.0004151969536162225,0.9263251979774507,0.02876968734808809,494021,4,mse,nadam,tanh,2,32,128,0.2,CuDNNLSTM,standarscaler
31,0.9988441786887602,0.0004041735536642667,0.9267142292253409,0.02803455311549987,494021,4,mse,nadam,tanh,2,32,128,0.2,CuDNNLSTM,standarscaler
32,0.9976154859818478,0.0008278471903641881,0.9267528108367018,0.028251919372643472,494021,4,mse,nadam,tanh,2,32,128,0.2,CuDNNLSTM,standarscaler
33,0.996566947559392,0.0011338633272312449,0.9242546515010772,0.0281623367781481,494021,4,mse,nadam,tanh,2,32,128,0.2,CuDNNLSTM,standarscaler
34,0.9971580155499462,0.0009394236041820939,0.9285468557649883,0.027778168012970922,494021,4,mse,nadam,tanh,2,32,128,0.2,CuDNNLSTM,standarscaler
35,0.9975891713105314,0.0008276370268712882,0.9261547958606063,0.028846134448871765,494021,4,mse,nadam,tanh,2,32,128,0.2,CuDNNLSTM,standarscaler
36,0.9989130016740179,0.00039999880146464713,0.9268653405365047,0.028819943016176162,494021,4,mse,nadam,tanh,2,32,128,0.2,CuDNNLSTM,standarscaler
37,0.9988401302778627,0.00042477753113877515,0.9269039221478658,0.02804110596872524,494021,4,mse,nadam,tanh,2,32,128,0.2,CuDNNLSTM,standarscaler
38,0.9989777762483781,0.000368108114939745,0.9277398570606874,0.026934661202328958,494021,4,mse,nadam,tanh,2,32,128,0.2,CuDNNLSTM,standarscaler
39,0.9990506476450159,0.0003446097767094851,0.924437914155042,0.02846117928811994,494021,4,mse,nadam,tanh,2,32,128,0.2,CuDNNLSTM,standarscaler
40,0.9982429896709623,0.000601960782121339,0.922701741643797,0.02986363767655974,494021,4,mse,nadam,tanh,2,32,128,0.2,CuDNNLSTM,standarscaler
41,0.9975567840233512,0.00081973089454592,0.9254796176617889,0.0280191704038412,494021,4,mse,nadam,tanh,2,32,128,0.2,CuDNNLSTM,standarscaler
42,0.9967713923092338,0.0010546944414215151,0.9241549823383945,0.029362334724949406,494021,4,mse,nadam,tanh,2,32,128,0.2,CuDNNLSTM,standarscaler
43,0.996736980816605,0.0010488754781275732,0.9235955489736601,0.028877413429778787,494021,4,mse,nadam,tanh,2,32,128,0.2,CuDNNLSTM,standarscaler
44,0.9968078280073114,0.0010286224825253078,0.9225763514068738,0.029893441305084024,494021,4,mse,nadam,tanh,2,32,128,0.2,CuDNNLSTM,standarscaler
45,0.9968705783767055,0.0010060977397344636,0.9229075102377223,0.030066088957204914,494021,4,mse,nadam,tanh,2,32,128,0.2,CuDNNLSTM,standarscaler
46,0.9985061363788179,0.0004979226439101266,0.9273154593357164,0.02772656579732573,494021,4,mse,nadam,tanh,2,32,128,0.2,CuDNNLSTM,standarscaler
