epochs,acc,loss,val_acc,val_loss,train_data,features_nb,loss_fct,optimizer,activation_fct,layer_nb,unit_nb,batch_size,dropout,cell_type,encoder
0,0.9565990109493286,0.01563231282640158,0.9098251288054959,0.03194460395671396,494021,4,mse,nadam,tanh,2,32,1024,0,CuDNNLSTM,standarscaler
1,0.9824238240867605,0.006543096092974324,0.9159531747433346,0.030749544873846832,494021,4,mse,nadam,tanh,2,32,1024,0,CuDNNLSTM,standarscaler
2,0.98768878244872,0.004597198239309936,0.8679319291770221,0.03997694230360706,494021,4,mse,nadam,tanh,2,32,1024,0,CuDNNLSTM,standarscaler
3,0.9897473993798497,0.003902952391911355,0.9182487806193139,0.030444743305061348,494021,4,mse,nadam,tanh,2,32,1024,0,CuDNNLSTM,standarscaler
4,0.9901522404909564,0.003756337642696123,0.9182359200821937,0.030581292280058747,494021,4,mse,nadam,tanh,2,32,1024,0,CuDNNLSTM,standarscaler
5,0.9906157835173661,0.0036935624595275463,0.9186924691499655,0.030503872319522625,494021,4,mse,nadam,tanh,2,32,1024,0,CuDNNLSTM,standarscaler
6,0.9911501737993932,0.0032512491700806994,0.7426124251669285,0.06253786908153336,494021,4,mse,nadam,tanh,2,32,1024,0,CuDNNLSTM,standarscaler
7,0.9871584406108905,0.004651518485796486,0.9189368193552517,0.030760711428923383,494021,4,mse,nadam,tanh,2,32,1024,0,CuDNNLSTM,standarscaler
8,0.9917209997248424,0.002309249369576294,0.919213320903339,0.030299823931393702,494021,4,mse,nadam,tanh,2,32,1024,0,CuDNNLSTM,standarscaler
9,0.9920711872350219,0.002040725543225184,0.9192293965747393,0.030264499029260494,494021,4,mse,nadam,tanh,2,32,1024,0,CuDNNLSTM,standarscaler
10,0.9928201432621617,0.001919601679675948,0.919213320903339,0.030230297648539035,494021,4,mse,nadam,tanh,2,32,1024,0,CuDNNLSTM,standarscaler
11,0.9930812657539513,0.0018542392994467347,0.919100791203536,0.030129315486438865,494021,4,mse,nadam,tanh,2,32,1024,0,CuDNNLSTM,standarscaler
12,0.9931298467282768,0.0017984877881327811,0.9193997986915837,0.02962711665543962,494021,4,mse,nadam,tanh,2,32,1024,0,CuDNNLSTM,standarscaler
13,0.993152112988213,0.001757035914946304,0.9194126592287041,0.029702214295556972,494021,4,mse,nadam,tanh,2,32,1024,0,CuDNNLSTM,standarscaler
14,0.9932432021898517,0.0016994863208849775,0.9193419262745423,0.02989993585619127,494021,4,mse,nadam,tanh,2,32,1024,0,CuDNNLSTM,standarscaler
15,0.9940893200785318,0.0015904945516837408,0.924315739005831,0.027425206847551474,494021,4,mse,nadam,tanh,2,32,1024,0,CuDNNLSTM,standarscaler
16,0.9977713497898194,0.0007865218153323252,0.9245118621969161,0.027560880432622517,494021,4,mse,nadam,tanh,2,32,1024,0,CuDNNLSTM,standarscaler
17,0.9981134405106592,0.0006577871936765662,0.9242064244403082,0.02794609219439337,494021,4,mse,nadam,tanh,2,32,1024,0,CuDNNLSTM,standarscaler
18,0.9984211197499702,0.0005758893671247801,0.9261901622911195,0.028129519221241052,494021,4,mse,nadam,tanh,2,32,1024,0,CuDNNLSTM,standarscaler
19,0.9985810319804219,0.0005289017666629345,0.9262608952452813,0.027779068346728015,494021,4,mse,nadam,tanh,2,32,1024,0,CuDNNLSTM,standarscaler
20,0.9987267747727323,0.0004958464794197054,0.9261001385312772,0.027649127410301236,494021,4,mse,nadam,tanh,2,32,1024,0,CuDNNLSTM,standarscaler
21,0.9987915493470926,0.00047129948244428385,0.924589025419638,0.027655488188560496,494021,4,mse,nadam,tanh,2,32,1024,0,CuDNNLSTM,standarscaler
22,0.9988178640068264,0.0004472096464294229,0.923621270001333,0.02903872537472449,494021,4,mse,nadam,tanh,2,32,1024,0,CuDNNLSTM,standarscaler
23,0.9988401302667627,0.00044353985242473335,0.9245600892111173,0.028731384143683453,494021,4,mse,nadam,tanh,2,32,1024,0,CuDNNLSTM,standarscaler
24,0.9988441786776602,0.0004286627863411416,0.9260197601742751,0.02977610532870028,494021,4,mse,nadam,tanh,2,32,1024,0,CuDNNLSTM,standarscaler
25,0.9988482270996577,0.0004317757449383001,0.9264152216907253,0.027351507510314368,494021,4,mse,nadam,tanh,2,32,1024,0,CuDNNLSTM,standarscaler
26,0.9988826385811865,0.0004018898157645736,0.9246854794480406,0.02797236489981118,494021,4,mse,nadam,tanh,2,32,1024,0,CuDNNLSTM,standarscaler
27,0.9988907354140816,0.00040215795241866514,0.9263702098108042,0.027415077914416667,494021,4,mse,nadam,tanh,2,32,1024,0,CuDNNLSTM,standarscaler
28,0.9988826385922865,0.0003952644199527046,0.9246018859567584,0.027580372413892603,494021,4,mse,nadam,tanh,2,32,1024,0,CuDNNLSTM,standarscaler
29,0.9982389412689929,0.0007695019179328243,0.915969250414735,0.031175433898474943,494021,4,mse,nadam,tanh,2,32,1024,0,CuDNNLSTM,standarscaler
30,0.9925630691701697,0.002629063884755,0.9257496888947481,0.029055642228936664,494021,4,mse,nadam,tanh,2,32,1024,0,CuDNNLSTM,standarscaler
31,0.9979859155673876,0.0007994533572162147,0.9240231617863434,0.02897670868937376,494021,4,mse,nadam,tanh,2,32,1024,0,CuDNNLSTM,standarscaler
32,0.9981964329229582,0.00067828301711061,0.9241131855461857,0.029107684055012156,494021,4,mse,nadam,tanh,2,32,1024,0,CuDNNLSTM,standarscaler
33,0.9983988534789339,0.000605229924053246,0.923386565198887,0.029297703852557387,494021,4,mse,nadam,tanh,2,32,1024,0,CuDNNLSTM,standarscaler
34,0.9985061363677179,0.0005619603843298492,0.9245825951510779,0.02899170519457358,494021,4,mse,nadam,tanh,2,32,1024,0,CuDNNLSTM,standarscaler
