epochs,acc,loss,val_acc,val_loss,train_data,features_nb,loss_fct,optimizer,activation_fct,layer_nb,unit_nb,batch_size,dropout,cell_type,encoder
0,0.9534736377467045,0.018735733658968023,0.8764520350192426,0.04482642812920781,494021,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
1,0.9733513352884797,0.009515322446866894,0.9170173842454252,0.02999415959343163,494021,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
2,0.9835573791167086,0.006022628926804101,0.9175157300588381,0.029318202305304936,494021,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
3,0.9866139293776305,0.004809679957904841,0.918210199063336,0.028048255260478234,494021,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
4,0.987609838468674,0.004489639256295022,0.9138987039937445,0.030437545679532028,494021,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
5,0.9880470668345054,0.004317314383320383,0.9150593674688545,0.030382542116169496,494021,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
6,0.9883567702468097,0.0041866815586034094,0.9239813650960854,0.02722898878531286,494021,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
7,0.9887575629367633,0.004033936621328508,0.921029871826969,0.0281465180564374,494021,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
8,0.9890530969100818,0.003926141553172411,0.9183066530917385,0.027976102414997796,494021,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
9,0.9893445825058027,0.0038278247408612158,0.9244990017151788,0.026976023214964652,494021,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
10,0.9894680590270768,0.003752377609749917,0.9250391442742328,0.026578647602589343,494021,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
11,0.9895591483166708,0.0036808314673589092,0.9170656112596264,0.02845400521913811,494021,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
12,0.9897190605471226,0.0035829809202866476,0.9158052786218338,0.02881152329786641,494021,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
13,0.9899579167456758,0.0034794799287863206,0.9192486874358029,0.029195079224701548,494021,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
14,0.9902352329041,0.003365494675746419,0.9210073658870085,0.028217993978253097,494021,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
15,0.9912534082448243,0.003096171632585368,0.921222779883774,0.0284985169892175,494021,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
16,0.9918120889375811,0.0028400012270866012,0.9212163496152138,0.028467743377454217,494021,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
17,0.9925974806516985,0.0025434187094643163,0.9210941745125707,0.028597431134082755,494021,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
18,0.9936014865653816,0.002239171167811248,0.9216600381458653,0.028672593115220087,494021,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
19,0.9934840826493537,0.002196460823019004,0.9214671300890603,0.027186759092399666,494021,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
20,0.9937188904703095,0.002110832255082657,0.920605474101998,0.02843481906657207,494021,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
21,0.9942431597250927,0.0019566604234178813,0.9206569162504794,0.02815857588654865,494021,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
22,0.9943868783008544,0.0019181445666560382,0.9213160187778965,0.02796455732078534,494021,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
23,0.9945326210607095,0.001874548561420667,0.9197695391891764,0.028220202088584844,494021,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
24,0.994522500077021,0.0018643228050631393,0.9209494934699669,0.028372873981666945,494021,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
25,0.9945548873206458,0.0018549785148565996,0.9202389487940685,0.027558235272570054,494021,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
26,0.9946156135276638,0.0018456416931437152,0.9224734671187264,0.027203819508805027,494021,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
27,0.9947492110872818,0.001814841721051545,0.9198949294260996,0.027449769904635376,494021,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
28,0.9947431384598355,0.001797312046579042,0.920525095744996,0.028678738052885948,494021,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
29,0.9946621702307853,0.0018231081497058577,0.9210009356184483,0.02864711229893966,494021,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
30,0.9945184516447682,0.0018465648610492534,0.9199945985887822,0.028399385948740617,494021,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
31,0.9945548873206458,0.0018388951695727314,0.9213095885093363,0.029020211840286858,494021,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
32,0.9947633805040677,0.0017877671781655752,0.9196666548922138,0.028391319047876576,494021,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
33,0.994469870691798,0.0018814698971490243,0.9199592321117013,0.028084676261344678,494021,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
34,0.9947370658434892,0.0017713512866377162,0.9202035823169876,0.028496547844710143,494021,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
35,0.9947654047308718,0.0017903625297783926,0.9203836298366723,0.028731237873488212,494021,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
36,0.994943534777907,0.0017407611943807768,0.9217564921742678,0.028224889078323764,494021,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
37,0.994797792018052,0.0017468003031473121,0.9221937504363591,0.027880002693195745,494021,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
38,0.9946115650843109,0.0018375794346795484,0.9189400345449149,0.029000777364713806,494021,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
39,0.9948585181379592,0.0017508715722803728,0.9197084516378549,0.028902535330111445,494021,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
40,0.9947350416491405,0.0017877513620400563,0.9172199377050704,0.028268375662677113,494021,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
41,0.994830179305232,0.001752683387836229,0.9170173842454252,0.029338666838284833,494021,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
42,0.9950002125193721,0.0017101552114202722,0.9168309064571804,0.029574107406302078,494021,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
43,0.9951135680356025,0.0016744013120532032,0.9169498664255434,0.029788665601097906,494021,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
44,0.9946540734200903,0.0017950020846862467,0.9163486363151678,0.03014121376509759,494021,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
45,0.9950325998176522,0.0016938747453029512,0.9165447595062529,0.030252194053066624,494021,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
46,0.9951277374737437,0.0016688871030013787,0.9166572892060558,0.030159414764284458,494021,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
47,0.9952147782969403,0.0016408863683664032,0.9168694880685414,0.030244255196295016,494021,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
48,0.9952572866224642,0.0016348560962605747,0.916933790754143,0.030129362476532293,494021,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
49,0.9952491897895691,0.001628497616468456,0.9169659420969438,0.03013019467989041,494021,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
50,0.9949556800105995,0.0017416870670216144,0.9161075012441616,0.030249343765734283,494021,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
51,0.9951864394206578,0.0016347850624185527,0.9162553974210454,0.029576967416491014,494021,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
52,0.994951631588602,0.001746687132570464,0.9151397458258566,0.028817102524538663,494021,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
53,0.9952896738985443,0.0016022597826763777,0.9163775725236887,0.030642031016554796,494021,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
54,0.9947492110437264,0.0018134765422787226,0.9175382359987987,0.030205095372677276,494021,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
55,0.995358496894902,0.0015784716535469803,0.9157924180847135,0.030241426260623865,494021,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
56,0.9950629628882836,0.0016969389008102064,0.9164032935979293,0.030085466124186784,494021,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
57,0.9952815771203046,0.0016054330123904381,0.9164901022234916,0.030311658389444492,494021,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
58,0.9951196406408488,0.001640431924212755,0.916509393029172,0.02774500214065356,494021,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
59,0.9948666150033096,0.0017730657362296342,0.9165994167890144,0.029883077101977375,494021,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
60,0.9951236890628462,0.0016390780682268458,0.9176314748929211,0.029895416859137942,494021,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
61,0.9952471656276758,0.0015961934054201754,0.9168373367257405,0.03050916404078755,494021,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
62,0.9950467692446935,0.0016755415705983175,0.9162264612125247,0.030410390389171742,494021,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
63,0.9949961641306746,0.0017084005806945253,0.9160592742299604,0.03028892472677409,494021,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
64,0.9950022367350764,0.0016999608380011736,0.9163454211808878,0.03088326823360202,494021,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
65,0.9952977707416947,0.0015936396508836653,0.9177150683842032,0.029769191465854463,494021,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
66,0.9950528418832398,0.001654002398042476,0.9176604111014418,0.03028849645962857,494021,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
67,0.994884832819893,0.0017199972491670269,0.9168887788742218,0.030454934089677466,494021,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
68,0.9949273411667723,0.0016823908379413654,0.9169434361569833,0.030429353136558694,494021,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
69,0.995034624034201,0.0017114041001873143,0.9165640503119334,0.030427307441217032,494021,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
70,0.9950670113102811,0.0016797358273484063,0.9166090621918546,0.030423142508635127,494021,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
71,0.9949617526158457,0.0017014486547069878,0.9160914255727612,0.03035796799288561,494021,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
72,0.9954981670597661,0.0015368949344985907,0.9159885412757985,0.030843973663607267,494021,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
73,0.9949091233177335,0.0017126760962559366,0.9162489671524853,0.030610097633872718,494021,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
74,0.9952431171954229,0.0016013022931224822,0.9155512830137073,0.03070127892441452,494021,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
75,0.9954374409185035,0.001552681218735031,0.9159081629187965,0.03088934180237992,494021,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
76,0.9951277374626438,0.0016548135471554362,0.9161139315127218,0.03049583640480862,494021,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
77,0.9954010052119802,0.0015590757424670523,0.9154676895224251,0.03085222852494672,494021,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
78,0.9954273198801596,0.001538663645475707,0.9157216851305516,0.030606487827483726,494021,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
79,0.9952775286769517,0.0015878538217388525,0.9157184699962716,0.0294413306248865,494021,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
80,0.9950366482285498,0.0016877770801543262,0.9154387533139043,0.030851206291014073,494021,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
81,0.9949313895341144,0.0017168437504665236,0.9163229152409272,0.031230151741068336,494021,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
82,0.9954941186488686,0.0015253384527626976,0.9168244761886202,0.030254249556776934,494021,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
83,0.9953362306349657,0.00158246452556856,0.916355066583728,0.030869813999432002,494021,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
84,0.9951945362424527,0.0016142559095421026,0.9160399834242798,0.031084683485631478,494021,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
85,0.9954738765943811,0.0015356301767042754,0.9149950647832529,0.032222448291540196,494021,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
86,0.9951459553116826,0.0016345876634463136,0.91566059757923,0.03058005600752699,494021,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
87,0.9951236890731017,0.0016466387407673504,0.9160657044985205,0.030959717778500137,494021,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
88,0.9951904878640107,0.0015979316804168348,0.9161139315127218,0.03096381618025745,494021,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
89,0.9952775286769517,0.0015970927007495715,0.9161428677212425,0.03082809945057814,494021,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
90,0.9949617526380458,0.0017115036874620784,0.9166894405488567,0.030722153219746102,494021,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
91,0.9955042396872125,0.0015316551955841693,0.9149146864262507,0.029899181330327682,494021,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
92,0.9950751081431761,0.0016537365467479007,0.9166058470575745,0.02985890740838892,494021,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
93,0.994860542365608,0.0017299931336830622,0.9146799816238047,0.0311514123707959,494021,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
94,0.994984018886882,0.0017043661140297242,0.9158245694275143,0.030209993164126304,494021,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
95,0.9954354167130547,0.001548115131923744,0.9159853261415185,0.03005884905382373,494021,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
96,0.9950852291806753,0.0016477883350987297,0.9152136939142985,0.031116191023984566,494021,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
97,0.9951196406630487,0.0016465614654359033,0.9090052696194578,0.03225963632405918,494021,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
98,0.9951864394317577,0.00163982451712233,0.9085326448802856,0.032581790826503074,494021,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
99,0.9951601247822793,0.00164266345277383,0.9090952933793002,0.031246948937053057,494021,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
0,0.9512895201007965,0.019783067225739824,0.8758829562516679,0.045641940285280506,494021,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
1,0.9718513990279067,0.010461337267382466,0.8769889624440165,0.043529450785720104,494021,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
2,0.9736448450341494,0.008917653620727672,0.8773329818119854,0.037523892165356024,494021,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
3,0.9809522267468702,0.006663037855144524,0.9181426812434543,0.029625555529397187,494021,4,mse,rmsprop,sigmoid,2,128,1024,0.2,CuDNNLSTM,standardscaler
