epochs,acc,loss,val_acc,val_loss,train_data,features_nb,loss_fct,optimizer,activation_fct,layer_nb,unit_nb,batch_size,dropout,cell_type,encoder
0,0.9656816208422978,0.015562565557146678,0.9137508077614775,0.029862047440928387,494021,4,mse,nadam,tanh,1,128,1024,0.2,CuDNNLSTM,standarscaler
1,0.9839035182698014,0.00631625684115453,0.9161718038743802,0.03107688036786176,494021,4,mse,nadam,tanh,1,128,1024,0.2,CuDNNLSTM,standarscaler
2,0.9792883298261263,0.007886328745672478,0.9163357757226644,0.03147140896205704,494021,4,mse,nadam,tanh,1,128,1024,0.2,CuDNNLSTM,standarscaler
3,0.985945941579541,0.005148553816330382,0.916200740082901,0.03257539913375105,494021,4,mse,nadam,tanh,1,128,1024,0.2,CuDNNLSTM,standarscaler
4,0.9809157910060817,0.006544876285983384,0.9160689195774175,0.03280139003717212,494021,4,mse,nadam,tanh,1,128,1024,0.2,CuDNNLSTM,standarscaler
5,0.9863912667449674,0.004488123371122979,0.9165415443165897,0.03172828095171642,494021,4,mse,nadam,tanh,1,128,1024,0.2,CuDNNLSTM,standarscaler
6,0.9871928521248748,0.003993853956262212,0.9166154924050317,0.03222617451464724,494021,4,mse,nadam,tanh,1,128,1024,0.2,CuDNNLSTM,standarscaler
7,0.9873669338148232,0.0038666058045228385,0.9165704805251106,0.032097411888745805,494021,4,mse,nadam,tanh,1,128,1024,0.2,CuDNNLSTM,standarscaler
8,0.9874033694693455,0.0038063799084386285,0.9166733648220732,0.03225787132559264,494021,4,mse,nadam,tanh,1,128,1024,0.2,CuDNNLSTM,standarscaler
9,0.9872819171424201,0.004021413489172384,0.9164225843482268,0.03287091166034024,494021,4,mse,nadam,tanh,1,128,1024,0.2,CuDNNLSTM,standarscaler
10,0.9870713997979494,0.004314768203312769,0.9167569583133554,0.03225271951128491,494021,4,mse,nadam,tanh,1,128,1024,0.2,CuDNNLSTM,standarscaler
11,0.986684776535037,0.004320314361472177,0.9167858945218761,0.03255664719223477,494021,4,mse,nadam,tanh,1,128,1024,0.2,CuDNNLSTM,standarscaler
12,0.9875167249855757,0.0037152081741618076,0.9167987550589964,0.03207465994114697,494021,4,mse,nadam,tanh,1,128,1024,0.2,CuDNNLSTM,standarscaler
13,0.987664492005535,0.0036390316219739676,0.916821260998957,0.03203693375138822,494021,4,mse,nadam,tanh,1,128,1024,0.2,CuDNNLSTM,standarscaler
14,0.9877292665576952,0.003595148944654157,0.9168051853275566,0.0314906706176552,494021,4,mse,nadam,tanh,1,128,1024,0.2,CuDNNLSTM,standarscaler
15,0.9878446463007297,0.003546907025650851,0.9168534123417579,0.03136331737036993,494021,4,mse,nadam,tanh,1,128,1024,0.2,CuDNNLSTM,standarscaler
16,0.9878729851667569,0.003571836083197308,0.9158020634321706,0.03193123080363071,494021,4,mse,nadam,tanh,1,128,1024,0.2,CuDNNLSTM,standarscaler
17,0.9874620714273594,0.0036584436981548555,0.9167794642533159,0.031931434866206976,494021,4,mse,nadam,tanh,1,128,1024,0.2,CuDNNLSTM,standarscaler
18,0.9880774299170813,0.0034105267914551923,0.9168501972074777,0.0319405586275143,494021,4,mse,nadam,tanh,1,128,1024,0.2,CuDNNLSTM,standarscaler
19,0.9881685191511753,0.0033751134822097247,0.9164772416309881,0.03211967372027018,494021,4,mse,nadam,tanh,1,128,1024,0.2,CuDNNLSTM,standarscaler
20,0.9861099022208902,0.004025784981744523,0.9149371923108283,0.031827325741280804,494021,4,mse,nadam,tanh,1,128,1024,0.2,CuDNNLSTM,standarscaler
21,0.9878729851556569,0.003404047609641834,0.9165447594508699,0.03170991032046966,494021,4,mse,nadam,tanh,1,128,1024,0.2,CuDNNLSTM,standarscaler
22,0.9882413905251305,0.0032624932685627853,0.9167601734476355,0.031728841646400656,494021,4,mse,nadam,tanh,1,128,1024,0.2,CuDNNLSTM,standarscaler
23,0.9879377597069725,0.0031965522304396522,0.9152651360073968,0.03166102324166164,494021,4,mse,nadam,tanh,1,128,1024,0.2,CuDNNLSTM,standarscaler
24,0.9890834600140131,0.0029595309273250108,0.9188210745211688,0.030970486674416743,494021,4,mse,nadam,tanh,1,128,1024,0.2,CuDNNLSTM,standarscaler
25,0.9958524030354985,0.001386882817024315,0.9227885502227915,0.028667448424063914,494021,4,mse,nadam,tanh,1,128,1024,0.2,CuDNNLSTM,standarscaler
26,0.9978928021278448,0.0007903837728705431,0.9227499686114304,0.029409578601410327,494021,4,mse,nadam,tanh,1,128,1024,0.2,CuDNNLSTM,standarscaler
27,0.9983361031211224,0.0005925925580137858,0.9245054319283559,0.02832596167028426,494021,4,mse,nadam,tanh,1,128,1024,0.2,CuDNNLSTM,standarscaler
28,0.9983624177697562,0.0005671585733891007,0.9228721437140737,0.02781380972332638,494021,4,mse,nadam,tanh,1,128,1024,0.2,CuDNNLSTM,standarscaler
29,0.9982429896704796,0.0006147645775082476,0.922849637774113,0.028781487255726337,494021,4,mse,nadam,tanh,1,128,1024,0.2,CuDNNLSTM,standarscaler
30,0.9976397764245503,0.0008416533796715068,0.9176379051060982,0.030377432016372545,494021,4,mse,nadam,tanh,1,128,1024,0.2,CuDNNLSTM,standarscaler
31,0.9964758583137154,0.001227389689138202,0.9243318146772314,0.029402492748176298,494021,4,mse,nadam,tanh,1,128,1024,0.2,CuDNNLSTM,standarscaler
32,0.998522330011308,0.0005213095863620909,0.924508647062636,0.02692450597580176,494021,4,mse,nadam,tanh,1,128,1024,0.2,CuDNNLSTM,standarscaler
33,0.9984777975025353,0.0005199405414438617,0.9229364463996753,0.028814412289055673,494021,4,mse,nadam,tanh,1,128,1024,0.2,CuDNNLSTM,standarscaler
34,0.9985344752551005,0.0004995304451661563,0.9245182924654762,0.028390524167609944,494021,4,mse,nadam,tanh,1,128,1024,0.2,CuDNNLSTM,standarscaler
35,0.9985628141202831,0.0004804867373357194,0.9244957865255157,0.02800055429827468,494021,4,mse,nadam,tanh,1,128,1024,0.2,CuDNNLSTM,standarscaler
36,0.9985871045856681,0.0004757726499362319,0.9245697346139575,0.02862842782888926,494021,4,mse,nadam,tanh,1,128,1024,0.2,CuDNNLSTM,standarscaler
