epochs,acc,loss,val_acc,val_loss,train_data,features_nb,loss_fct,optimizer,activation_fct,layer_nb,unit_nb,batch_size,dropout,cell_type,encoder
0,0.9525667937065062,0.01780991880876241,0.9089891938926743,0.03508841345880867,494021,4,mse,adam,sigmoid,2,128,1024,0.2,CuDNNLSTM,standarscaler
1,0.9815129316578648,0.0070156980642832835,0.916512608108069,0.03213012214037824,494021,4,mse,adam,sigmoid,2,128,1024,0.2,CuDNNLSTM,standarscaler
2,0.9840249706078267,0.005958990717437184,0.9166347832107122,0.02995541256378949,494021,4,mse,adam,sigmoid,2,128,1024,0.2,CuDNNLSTM,standarscaler
3,0.985555269916831,0.0054026374568312595,0.916432229751067,0.031591301789602566,494021,4,mse,adam,sigmoid,2,128,1024,0.2,CuDNNLSTM,standarscaler
4,0.9816930859206041,0.007015040526899689,0.9076324072264792,0.03584606982274096,494021,4,mse,adam,sigmoid,2,128,1024,0.2,CuDNNLSTM,standarscaler
5,0.9817983446030949,0.007091672858395343,0.9078092396118838,0.03590259135180058,494021,4,mse,adam,sigmoid,2,128,1024,0.2,CuDNNLSTM,standarscaler
6,0.9819562326067425,0.006991220429060285,0.9147474993883034,0.03337114152047379,494021,4,mse,adam,sigmoid,2,128,1024,0.2,CuDNNLSTM,standarscaler
7,0.9862880322670807,0.005260199938203783,0.9165286837794695,0.03261031660845223,494021,4,mse,adam,sigmoid,2,128,1024,0.2,CuDNNLSTM,standarscaler
8,0.982292250755636,0.006699198681766569,0.9165447594508699,0.03292824810173841,494021,4,mse,adam,sigmoid,2,128,1024,0.2,CuDNNLSTM,standarscaler
9,0.98658963889089,0.005049723044084294,0.9191650938891377,0.03168164079714285,494021,4,mse,adam,sigmoid,2,128,1024,0.2,CuDNNLSTM,standarscaler
10,0.9921541796584209,0.0028819411431522477,0.9193612170802228,0.031214038075358184,494021,4,mse,adam,sigmoid,2,128,1024,0.2,CuDNNLSTM,standarscaler
