epochs,acc,loss,val_acc,val_loss,train_data,features_nb,loss_fct,optimizer,activation_fct,layer_nb,unit_nb,batch_size,dropout,cell_type,encoder
0,0.9535384178161621,0.017309363875049395,0.923691987991333,0.026611993086821006,494021,4,mse,nadam,relu,2,128,2048,0.1,CuDNNLSTM,labelencoder
1,0.9942553043365479,0.002534663019997202,0.9240906834602356,0.02856560914837456,494021,4,mse,nadam,relu,2,128,2048,0.1,CuDNNLSTM,labelencoder
2,0.9945852756500244,0.0020502158721884245,0.9240231513977051,0.02673283702608688,494021,4,mse,nadam,relu,2,128,2048,0.1,CuDNNLSTM,labelencoder
3,0.9947269558906555,0.0018743893754207513,0.9239813685417175,0.02798745131108833,494021,4,mse,nadam,relu,2,128,2048,0.1,CuDNNLSTM,labelencoder
4,0.9948281645774841,0.0017589075490844583,0.923550546169281,0.026849551936140734,494021,4,mse,nadam,relu,2,128,2048,0.1,CuDNNLSTM,labelencoder
0,0.9584046006202698,0.01422302354580113,0.9234541058540344,0.028744923338946602,4898431,4,mse,nadam,relu,2,128,2048,0.1,CuDNNLSTM,labelencoder
1,0.9943079352378845,0.002453322798774189,0.9236469864845276,0.028807234210204893,4898431,4,mse,nadam,relu,2,128,2048,0.1,CuDNNLSTM,labelencoder
2,0.9946115612983704,0.0020636223156018374,0.9244411587715149,0.027106461255432736,4898431,4,mse,nadam,relu,2,128,2048,0.1,CuDNNLSTM,labelencoder
3,0.967495322227478,0.012302570477652593,0.7390082478523254,0.08755744816654869,4898431,4,mse,nadam,relu,2,128,2048,0.1,CuDNNLSTM,labelencoder
4,0.7903469800949097,0.04499008784582896,0.7214246988296509,0.05697375454806723,4898431,4,mse,nadam,relu,2,128,2048,0.1,CuDNNLSTM,labelencoder
