epochs,acc,loss,val_acc,val_loss,train_data,features_nb,loss_fct,optimizer,activation_fct,layer_nb,unit_nb,batch_size,dropout,cell_type,encoder
0,0.7878551483154297,0.0970421664671954,0.7390082478523254,0.0834515833146893,494021,4,mse,nadam,sigmoid,2,4,1024,0.2,CuDNNLSTM,labelencoder
1,0.8242139220237732,0.060843872104182364,0.7788823843002319,0.051983334100912194,494021,4,mse,nadam,sigmoid,2,4,1024,0.2,CuDNNLSTM,labelencoder
2,0.9039777517318726,0.03788940070970174,0.918354868888855,0.03807489031145111,494021,4,mse,nadam,sigmoid,2,4,1024,0.2,CuDNNLSTM,labelencoder
3,0.9354096055030823,0.02407145523473098,0.9161203503608704,0.029983329213283127,494021,4,mse,nadam,sigmoid,2,4,1024,0.2,CuDNNLSTM,labelencoder
4,0.9462775588035583,0.018859368037087525,0.9172617197036743,0.029421264867410632,494021,4,mse,nadam,sigmoid,2,4,1024,0.2,CuDNNLSTM,labelencoder
0,0.7950937151908875,0.07724210456965504,0.9196698665618896,0.03570750954185905,494021,4,mse,nadam,sigmoid,2,8,1024,0.2,CuDNNLSTM,labelencoder
1,0.9764524102210999,0.013022477281712156,0.9215796589851379,0.028126636251718438,494021,4,mse,nadam,sigmoid,2,8,1024,0.2,CuDNNLSTM,labelencoder
2,0.9869742393493652,0.007679495866143908,0.9216407537460327,0.0286218642459322,494021,4,mse,nadam,sigmoid,2,8,1024,0.2,CuDNNLSTM,labelencoder
3,0.9885045289993286,0.004780583693275917,0.921602189540863,0.030117467795443737,494021,4,mse,nadam,sigmoid,2,8,1024,0.2,CuDNNLSTM,labelencoder
4,0.9921218156814575,0.003904619916497857,0.9216857552528381,0.030435923935773695,494021,4,mse,nadam,sigmoid,2,8,1024,0.2,CuDNNLSTM,labelencoder
0,0.9478564858436584,0.02072714793846247,0.923302948474884,0.02933150942450984,494021,4,mse,nadam,sigmoid,2,32,1024,0.2,CuDNNLSTM,labelencoder
1,0.994425356388092,0.002240788870611864,0.9235730171203613,0.029689777750290244,494021,4,mse,nadam,sigmoid,2,32,1024,0.2,CuDNNLSTM,labelencoder
2,0.9946135878562927,0.002100088538360958,0.9234926700592041,0.02983175396586377,494021,4,mse,nadam,sigmoid,2,32,1024,0.2,CuDNNLSTM,labelencoder
3,0.9807255268096924,0.007128909163574811,0.9227306842803955,0.03024302839720843,494021,4,mse,nadam,sigmoid,2,32,1024,0.2,CuDNNLSTM,labelencoder
4,0.9845229387283325,0.005950052799615106,0.9213352799415588,0.03058437764781236,494021,4,mse,nadam,sigmoid,2,32,1024,0.2,CuDNNLSTM,labelencoder
0,0.9669285416603088,0.012235304434283717,0.9234541058540344,0.029676312992897774,494021,4,mse,nadam,sigmoid,2,64,1024,0.2,CuDNNLSTM,labelencoder
1,0.9945406913757324,0.002099004680843378,0.9247015714645386,0.029324413639926623,494021,4,mse,nadam,sigmoid,2,64,1024,0.2,CuDNNLSTM,labelencoder
2,0.9947087168693542,0.0020202209968445753,0.9228721261024475,0.02949640433331347,494021,4,mse,nadam,sigmoid,2,64,1024,0.2,CuDNNLSTM,labelencoder
3,0.9629145264625549,0.012268609099605789,0.9227113723754883,0.02963010042423026,494021,4,mse,nadam,sigmoid,2,64,1024,0.2,CuDNNLSTM,labelencoder
4,0.9942188858985901,0.0022847882599913195,0.922688901424408,0.030213410419846203,494021,4,mse,nadam,sigmoid,2,64,1024,0.2,CuDNNLSTM,labelencoder
0,0.9765576720237732,0.008263857891494654,0.9229460954666138,0.029937913948006576,494021,4,mse,nadam,sigmoid,2,128,1024,0.2,CuDNNLSTM,labelencoder
1,0.9747359156608582,0.009752752698675309,0.9238495230674744,0.029387260126823096,494021,4,mse,nadam,sigmoid,2,128,1024,0.2,CuDNNLSTM,labelencoder
2,0.9946379065513611,0.0019271398497836725,0.9241099953651428,0.028041497914915784,494021,4,mse,nadam,sigmoid,2,128,1024,0.2,CuDNNLSTM,labelencoder
3,0.9966378211975098,0.0012758427100361645,0.9232515096664429,0.029158264978743676,494021,4,mse,nadam,sigmoid,2,128,1024,0.2,CuDNNLSTM,labelencoder
4,0.979172945022583,0.00799873095497849,0.9208434224128723,0.02973328799511316,494021,4,mse,nadam,sigmoid,2,128,1024,0.2,CuDNNLSTM,labelencoder
0,0.9746994376182556,0.008935442872057414,0.9241646528244019,0.02957754421507846,494021,4,mse,nadam,sigmoid,2,256,1024,0.2,CuDNNLSTM,labelencoder
1,0.9934172630310059,0.0024170084287713305,0.7474576234817505,0.0704500442702933,494021,4,mse,nadam,sigmoid,2,256,1024,0.2,CuDNNLSTM,labelencoder
2,0.9499211311340332,0.01915606918727118,0.9242321252822876,0.029352583886822263,494021,4,mse,nadam,sigmoid,2,256,1024,0.2,CuDNNLSTM,labelencoder
3,0.9789097905158997,0.008117267031763126,0.9192904829978943,0.03129884766050765,494021,4,mse,nadam,sigmoid,2,256,1024,0.2,CuDNNLSTM,labelencoder
4,0.9742096066474915,0.009041720083146597,0.9217982888221741,0.029694980654296377,494021,4,mse,nadam,sigmoid,2,256,1024,0.2,CuDNNLSTM,labelencoder
